,accuracy,precision,recall,f1-score,feature_coverage
DNN_score,0.7210526315789474,0.7169811320754716,0.7676767676767676,0.7414634146341463,1.0
DNN,0.6789473684210526,0.6826923076923077,0.7171717171717171,0.6995073891625616,1.0
GDBT,0.7,0.6944444444444444,0.7575757575757576,0.7246376811594203,1.0
DNN_score,0.5842105263157895,0.65625,0.42424242424242425,0.5153374233128835,0.8759787825208386
DNN,0.5210526315789473,0.5210526315789473,1.0,0.6851211072664359,0.8759787825208386
GDBT,0.5210526315789473,0.5210526315789473,1.0,0.6851211072664359,0.8759787825208386
DNN_score,0.6344086021505376,0.6363636363636364,0.7142857142857143,0.673076923076923,1.0
DNN,0.7634408602150538,0.9354838709677419,0.5918367346938775,0.7249999999999999,1.0
GDBT,0.7096774193548387,0.8055555555555556,0.5918367346938775,0.6823529411764706,1.0
DNN_score,0.6021505376344086,0.65,0.5306122448979592,0.5842696629213483,1.0
DNN,0.5483870967741935,0.7058823529411765,0.24489795918367346,0.36363636363636365,1.0
GDBT,0.5376344086021505,0.6153846153846154,0.32653061224489793,0.42666666666666664,1.0
DNN_score,0.5941176470588235,0.5384615384615384,0.8860759493670886,0.6698564593301435,0.19315068493150686
DNN,0.5411764705882353,0.5076923076923077,0.4177215189873418,0.4583333333333333,0.19315068493150686
GDBT,0.4647058823529412,0.4647058823529412,1.0,0.6345381526104418,0.19315068493150686
DNN_score,0.6831683168316832,0.7339449541284404,0.6956521739130435,0.7142857142857143,0.7849315068493151
DNN,0.5891089108910891,0.6538461538461539,0.591304347826087,0.6210045662100457,0.7849315068493151
GDBT,0.5742574257425742,0.580110497237569,0.9130434782608695,0.7094594594594595,0.7849315068493151
