,omics,immune,specie,kegg,metabolome,quest
Physical Functioning,0.06886939880442411,0.09017057757976091,0.0957303200914425,0.10624824482973245,0.0875735482593698,0.10551774811767436
Physical Limitations,0.04117529461279461,0.053703187003968256,0.061474609375,0.06693638392857143,0.0638921522556391,0.08165225074404761
Emotional Limitations,0.0879336575632872,0.08739160787771899,0.10457451499118166,0.09749779541446207,0.0997772208298524,0.10947420634920635
Energy/Fatigue,0.05490850198419023,0.056459040714792394,0.06118542262340504,0.06579881026698065,0.06414170444765878,0.06965432160917646
Emotional wellbeing,0.03429392408909912,0.03607404880638242,0.03255300842149148,0.03474039597541905,0.03560401981889448,0.03815162287070905
Social Functioning,0.08486073814870794,0.10362171670068185,0.11573316455621818,0.12358346316255067,0.10576764437738743,0.1270678907094706
Pain,0.0563322639999226,0.06147274510257272,0.06601131283653003,0.0675810664010777,0.06821190530280594,0.075314491531326
General Health,0.04866966902205332,0.061028202620641306,0.07037748731542622,0.07242682724856661,0.06983486296543681,0.08012868565402687
Cognitive Efficiency,0.021103386924366703,0.01980406464187866,0.023790082760441488,0.023491865451062098,0.022477019591240256,0.021762770581318792
Orthostatic Intolerance,0.020627908805291018,0.02116522191134372,0.020531004521700747,0.02391380538388647,0.021738621515729924,0.020596986312789164
Sleeping Problem,0.0778870850599012,0.05143972318520155,0.05210725147529553,0.05684513645210645,0.057527401416510714,0.06576566313519279
Gastrointestinal Problem,0.04817800353226123,0.044219382325542365,0.043828594046810984,0.04791101589152576,0.054934302359768594,0.046257607160425346
