feature,coefficient
metab__vanillylmandelate (VMA),-1.0194253036642635
species__GGB1266_SGB1699,-1.0112705035304077
metab__N4-acetylcytidine,0.9793627849857847
species__Phocaeicola_plebeius,-0.9200022534969651
species__Dysosmobacter_welbionis,0.8986799423635019
"metab__sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.892618715161377
immune_pct__CD8+ DN+ MAIT % RO- CD27- d0,0.8730698666329038
metab__N-acetylglutamate,0.8272851785072538
immune_res__% CD4+ CD161+ Va7.2- d6,0.7791939247436647
quest__Vitamin B12,0.7708667171175163
metab__N-palmitoyl-sphingosine (d18:1/16:0),0.633110138785298
metab__1-methylurate,-0.6295626146128438
metab__3-(4-hydroxyphenyl)lactate,-0.5598978096539811
metab__N-acetylglucosamine/N-acetylgalactosamine,0.4621494368541339
metab__1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),0.26665627160626554
