feature,coefficient
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),0.43745333704130634
N-acetylglutamate,0.9585167509499182
N4-acetylcytidine,0.8444335900036773
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.4403041985092735
1-methylurate,-0.4245764251443027
N-palmitoyl-sphingosine (d18:1/16:0),0.46358137784239745
3-(4-hydroxyphenyl)lactate,-0.8008952076479361
N-acetylglucosamine/N-acetylgalactosamine,0.2826787536806158
vanillylmandelate (VMA),-0.7755698511324408
4-vinylguaiacol sulfate,-0.27951674693326184
