"","Immune.mergedColors","Immune.magenta","Immune.blue","Immune.black","Immune.red","Immune.greenyellow","Immune.pink","Immune.purple","Immune.turquoise","Immune.brown","Immune.yellow","Immune.magenta.p","Immune.blue.p","Immune.black.p","Immune.red.p","Immune.greenyellow.p","Immune.pink.p","Immune.purple.p","Immune.turquoise.p","Immune.brown.p","Immune.yellow.p"
"total % CD3 d0","grey",-0.0181109567506358,-0.114403331590587,-0.0222617403430956,-0.0519853965025498,0.150602275215198,-0.134756162006512,-0.0179006590025621,-0.125820119720795,0.186601875037323,-0.115291825791492,0.689523623819121,0.0113516632870001,0.623368082631849,0.251214320271928,0.000835161391056027,0.00282732707522194,0.692944724190367,0.00533195255143775,3.29066996464489e-05,0.0107267611818557
"CD8+ MAIT % RO+ CD27+ d0","grey",-0.0114528897132136,-0.0696393653183165,-0.0648743503641021,0.00796611512233844,0.209875536359075,0.168566116895475,0.0460877254650825,-0.079250794158068,0.0339441881904426,-0.0166758911661198,0.800560466596942,0.124076578809596,0.152021756019867,0.860522246610015,2.84906912454755e-06,0.000180500602737214,0.309112521210134,0.0799856131173488,0.453908838668024,0.712991381240771
"CD8+ DN+ MAIT % RO+ CD27+ d0","grey",-0.0172912657446367,-0.0830479545287107,-0.0850338672724783,-0.0342612859348261,0.19697267523655,0.150793113785669,0.0468636658665301,-0.0919701217760386,0.00609938847883554,-0.0319483545280622,0.702893361000508,0.066514750962248,0.0602478795564456,0.449700405361577,1.14590097664255e-05,0.000822371672293287,0.301029350632733,0.0420654348273794,0.892980372148125,0.480899331193477
"% CD8+ M total CXCR3+ d0","grey",-0.0105640996240038,-0.109081478024152,-0.0604483299218243,-0.117121248699115,0.11734963930839,-0.0821952051515603,0.0934621072422308,-0.0689331734585549,0.0304450902430664,0.115474984025441,0.815748814105871,0.0158136700871169,0.182035350184021,0.00953528789735838,0.00939512318356848,0.069365301748641,0.0388290050424606,0.127945697955031,0.501790312852861,0.0106017984626575
"% CD8+ M CCR4- CXCR3+ d0","grey",-0.140840076970734,-0.0729570119936395,-0.0592122499463938,-0.0460116144906452,0.137264113968749,-0.0501182036832961,0.117093445725254,-0.0810179054690845,0.0570641768800512,0.0420630909145115,0.00179596510811883,0.107105087110672,0.191152610621894,0.309913020049751,0.00235003041133092,0.26866594117054,0.00955247705273072,0.0734643389756061,0.207785920226556,0.353311116894922
"NK % CD56hi CD16-","grey",-0.0914713556523843,-0.0888880208147146,-0.101371984103925,-0.0346681633062151,0.114745452930704,-0.0274414641745804,0.0271764520217644,-0.145416400267673,0.00284183441938961,-0.00145395346240495,0.0431969041804231,0.0494755038802917,0.0249798585885607,0.444332887335763,0.0111073238240623,0.544924178086642,0.548816196651105,0.00126162355142287,0.95001992204021,0.974416621437785
"% viable CD3- CCR6- GzA- INFg+ d1","grey",-0.111207119905221,-0.0698387563708421,-0.065236200106214,0.0663347337403653,0.16945039687586,0.00568141362674321,0.118212259440975,-0.116397088398005,0.0938868113546789,0.0200614110998159,0.0138742048070188,0.123000787858445,0.14974484381319,0.142991221030879,0.000166692649560472,0.900274544739257,0.00888211433246879,0.00999208039150873,0.0379472390288808,0.658102771500795
"% CD4+ M CXCR5+ CCR7+ d0","grey",-0.0606490441265839,-0.0830284867977716,-0.0823277863381764,-0.144253372258474,0.144279431792611,-0.0199437885163497,0.0169857894609625,-0.1295949275517,0.101381968365896,-0.016692376957231,0.180585759425486,0.06657873749644,0.0689156561626218,0.00138142072568581,0.00137862568691146,0.659981336666821,0.707899689601611,0.00409748904714481,0.0249655093181886,0.712720192660782
"viable CD8+ MAIT d6","grey",0.0491730492821025,0.117058932318278,0.0865587892204605,0.17196221709354,0.0736245609317029,0.184645443843329,-0.0289356581865387,-0.067636423013647,0.0917982604380766,0.0759465083711411,0.277809038646784,0.00957385324209525,0.0557740462588022,0.000132679465679608,0.103922832345042,3.99006428100396e-05,0.523239181656255,0.135293161886617,0.0424524522796221,0.0934336734863185
"% CD8+ MAIT total TNFa+ d6","grey",-0.0418628011228361,0.187573527570106,0.00422838500960057,0.109666054459886,0.118615470724473,0.165547507607769,-0.0658697160985884,-0.0412837769916855,0.106492629018358,0.0806653449063607,0.355610050327752,2.98811061258624e-05,0.925693154781346,0.0152579180429208,0.00865099223038945,0.000236140398457268,0.145821077092635,0.362308864104524,0.018493653355901,0.0747295915794936
"viable total CD8+ d6","grey",-0.0566533640185797,0.112066679081295,0.115665064468868,0.162093702014663,-0.0252652528174504,0.0644463889000008,0.0444317512492297,-0.0675376401064206,0.068494860948541,-0.0235235160901124,0.211082741476487,0.0131514246829293,0.0104734794334352,0.000319333669109132,0.57728260750299,0.154748477601647,0.326837222943391,0.135865925285221,0.130393782023431,0.603813640102866
"% CD8+ M CCR4+ CXCR3+ d0","grey",0.230608559193675,-0.119322453800493,-0.0423880253301334,-0.192746131173632,0.0317857661312822,-0.0978768282310863,0.00729301629819794,-0.0232603654121258,-0.028605419836892,0.199037865020072,2.52101455679649e-07,0.00825865471837918,0.349601486399101,1.77341587039028e-05,0.483135820713856,0.0304610438544217,0.872201790692486,0.607869122620048,0.527993600196297,9.22541672825589e-06
