"","SUPER_PATHWAY","SUB_PATHWAY","Metabolome.mergedColors","Metabolome.magenta","Metabolome.red","Metabolome.yellow","Metabolome.green","Metabolome.black","Metabolome.blue","Metabolome.turquoise","Metabolome.brown","Metabolome.pink","Metabolome.magenta.p","Metabolome.red.p","Metabolome.yellow.p","Metabolome.green.p","Metabolome.black.p","Metabolome.blue.p","Metabolome.turquoise.p","Metabolome.brown.p","Metabolome.pink.p"
"phenylacetylglutamine","Peptide","Acetylated Peptides","grey",0.0873680813400348,-0.100847158172129,-0.233013852276697,0.0541918039937579,0.0280978893189625,0.0581297617015702,0.222667339535116,0.074326385557941,0.152724100463906,0.0757824701477497,0.0402705217925616,1.64363927974656e-06,0.27128211666898,0.568615662001825,0.237925560899038,4.77433461583216e-06,0.131085604842131,0.00183085420776662
"p-cresol sulfate","Xenobiotics","Benzoate Metabolism","grey",0.0717604485597248,-0.0743614431051583,-0.151039380721959,-0.035290653083109,-0.0626816102113827,-0.00622673123749267,0.0875765795071751,0.10616504412821,0.177808772258533,0.144957967689798,0.130903437975691,0.00205889990998176,0.473923067518475,0.2030968974544,0.899483852738768,0.0750835929316879,0.0307947583355562,0.000276959643448953
"p-cresol glucuronide*","Amino Acid","Tyrosine Metabolism","grey",0.0744496743606302,-0.0084672629543355,-0.189056316503096,-0.0127285918168205,0.0212536941453696,-0.0317809563030939,0.188520238531419,0.0357668595600502,0.135560601287031,0.130445834336043,0.863621897065671,0.000108812116529311,0.796240262618004,0.666330303672547,0.519021443920094,0.00011390922928749,0.467973762095872,0.00573299905919836
"X-24556",NA,NA,"grey",0.0661258927222591,0.18746106642976,0.0597333854207436,0.110967096854243,0.0205703489825652,0.135921898424623,0.0950032996215427,0.119462095809932,0.185005474232218,0.179315701526591,0.000124646470197015,0.225205146390606,0.0239458240429279,0.676441901710827,0.00560380304638833,0.0534141578726197,0.0150132179611951,0.000153306088488396
"isobutyrylcarnitine (C4)","Amino Acid","Leucine, Isoleucine and Valine Metabolism","grey",0.117435848707096,-0.14905317506789,-0.101717691452477,0.166793468167892,-0.111661051486699,-0.061435404773766,0.0747086171977854,0.0286601836376632,0.178553649891901,0.016824601103776,0.00236094591013469,0.0385686485095902,0.000655891702330647,0.0230740176362996,0.21224183096667,0.129109989100936,0.560900305289441,0.000260784980513714
"3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**","Lipid","Fatty Acid, Dicarboxylate","grey",0.213646134703309,0.209069177517279,0.0452823841971631,0.0383227059513258,0.0211749300326367,0.0736937249060868,0.014328463291875,0.107724180692849,0.160754129503798,1.16178113956892e-05,1.79842439098107e-05,0.358071533073991,0.436757789893245,0.667492759921478,0.134406815384255,0.771300246003205,0.0284071904449322,0.00102947559340945
"arabonate/xylonate","Carbohydrate","Pentose Metabolism","grey",0.25032758931701,-0.081163031627734,-0.0753051670683979,-0.0145842218823183,-0.00742361396368556,-0.0832709022234032,0.186406471145918,-0.0126422204433436,0.0981229936032923,2.46420752754352e-07,0.0991165041692482,0.126072790520462,0.767334299092439,0.880296329556717,0.0906213258929113,0.000136276283913286,0.797592855313678,0.0460114429943991
"N-acetylglutamate","Amino Acid","Glutamate Metabolism","grey",0.0993519080458211,0.00668605368393678,-0.150302059448958,0.0236953391134707,0.022866222943587,0.0447813810093772,0.216301840482944,0.0936933230745868,0.0992255653718272,0.0433417720750398,0.892112792447003,0.00216664174792532,0.630702292356158,0.642710259127733,0.363420131003417,8.97665110732531e-06,0.0568054204834633,0.0436100820329391
"lanthionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","grey",0.186500145907885,-0.112890395506293,-0.0387374384086674,0.00652670386511159,-0.0753707224601264,-0.0500510965340747,0.122099210635281,-0.0809282365740104,0.0358561191678218,0.000135203428163906,0.0215969167597338,0.431807587472092,0.89466896862353,0.12574243998835,0.309654678142472,0.0129134098015069,0.100100739987614,0.466863236234035
"gamma-glutamylphenylalanine","Peptide","Gamma-glutamyl Amino Acid","grey",0.0711159075375135,0.124462672407054,0.10457021864719,0.154595080673292,0.0376600135592012,0.174246542543938,0.230562242205374,0.0809517646029232,0.0323313932606491,0.148612711793004,0.0112560823134912,0.0334125400133798,0.00160486092846325,0.444734826148818,0.000368098023007392,2.1257144264914e-06,0.100001764296424,0.511805437287453
