"","Specie.green","Specie.blue","Specie.turquoise","Specie.brown","Specie.yellow","Specie.black","Specie.red","KEGG.green","KEGG.black","KEGG.brown","KEGG.red","KEGG.purple","KEGG.magenta","Immune.pink","Immune.turquoise","Immune.purple","Immune.yellow","Immune.blue","Immune.brown","Immune.magenta","Immune.black","Immune.greenyellow","Metabolome.black","Metabolome.turquoise","Metabolome.blue","Metabolome.pink","Metabolome.green","Metabolome.yellow","Metabolome.brown","Metabolome.magenta","Metabolome.red"
"decode","Firmicutes.sp","Blautia Flavonifractor","Lachnospiraceae","Prevotella","Ruminococcaceae","Lactobacillaceae","Clostridia.sp","Antibiotics","Secondary Mets","Amino Acid","Benzoate Degradate","Pyruvate","Fatty Acid","CD8 MAIT","GMCSF+/GzA+ CD8","INFg+ CD8","TCM","Th17","INFg+ Memory CD4","TNFa+ Cytotoxic T","Th17 Memory","INFg+ GzA+ CD8 MAIT","Long Chain Fatty Acid","Phospholipids","Acyl Carnitine","Plasmalogen","Medium Chain FA","Steroids","Sphingomyelins","Benzoate Metabolism","Tocopherol Metabolism"
"member_counts"," 31"," 44"," 58"," 40"," 38"," 21"," 28","173","156","277","133"," 55"," 68"," 17"," 55"," 14"," 28"," 36"," 63"," 17"," 19"," 12"," 18"," 57"," 55"," 18"," 27"," 32"," 40"," 15"," 18"
"SAM000201_tp1","-0.00346046025489359","-0.0036880625500235","-0.00692321560534868","-0.0017672024896821","-0.00917441787299867","-0.0126607546913812","-0.0211223386967319","-0.0129182614146463","0.00229336420933755","-0.0181678075046829","-0.0258131061318304","-0.03555471640818","-0.0201201623861472","-0.0591346528574246","0.0151194219068591","0.032980539515728","-0.0249845107880016","-0.0667675798125289","-0.0175468185297213","0.0576811971756882","-0.0611130032084236","0.05652569699234","-0.0211760267464489","0.0192847480209517","-0.0053207910376205","0.027300341643119","-0.0227681681888953","-0.056514378193926","-0.0344213085535793","0.0378789043154536","-0.0299302941713192"
"SAM000201_tp2","0.0133848608727916","-0.027621631357243","-0.0109664562169297","0.0278542947898083","-0.00767073724271613","0.010890352683381","-0.0209648580056948","-0.00716389701251682","-0.023972204535085","0.0482565011706302","0.00218032724949022","-0.0350912497762581","-0.0179480902540013","-0.0664043260528111","0.0057883024918307","-0.00622125913366079","-0.0542965436536149","-0.0596024147268821","-0.0336144312329075","0.0823283940256239","-0.0460601122392934","0.0601563729862755","0.0333235881512041","0.0155919285707583","0.139475143540724","0.111595044829186","-0.00489673852890725","-0.0562813602787459","0.0277307369382272","0.0922103755714426","0.00589416532500395"
"SAM000201_tp3","0.0200706022128414","-0.0463268105460467","-0.00755745187476809","0.0110512750854806","-0.00556999933006111","-0.0131519449057322","-0.0217377279257371","-0.0048552291480673","-0.0119380353295384","0.0217115923715852","-0.0189668545083284","-0.0340551107609762","-0.0148786208012634","-0.0623405990537865","0.0651347534474488","0.0108686577804524","-0.0431434890398719","-0.0738074444971441","-0.00427076075505385","0.0256137454785789","-0.0478267063594165","0.0542029108445484","0.017831494305596","-0.0117638992125827","0.00657439215987691","0.100797335747514","-0.0206961423675471","-0.0605752162967214","0.0107119402786523","0.137096365035025","0.0461203070114197"
"SAM000201_tp4","0.00241331488163618","-0.0186106695134123","0.0461192702080417","0.0626742811260065","-0.00385516888180286","-0.0139526640665766","-0.0209078678016839","0.014130491010939","-0.0264795265264046","0.0234827081898896","0.00125116365157216","-0.031680236582837","-0.0110549079588791","-0.064629329568876","0.0208833101787342","-0.00399888282689318","-0.0355155614828897","-0.0626506916542157","0.00808981889001881","0.0513852402329737","-0.0550791515670424","0.061888873775923","-0.00575923939827874","-0.0360675818840837","0.0219052638064327","0.0374245112381196","-0.000958855069331365","-0.0655017309743892","0.015030591442018","0.082897214968784","0.0887554571693317"
"SAM000202_tp1","0.0129717546922122","-0.031834766391575","-0.0220331613451878","-0.0111244030010117","-0.00993028929914492","-0.0127184978749747","-0.0138297521171012","-0.0155063329167754","-0.0169930014971807","-0.0127201895915761","-0.0120440454716959","-0.0439431145681362","-0.011721087552758","0.0083728438775475","0.0192327097556507","-0.0287535813438612","0.0160012944283417","-0.0436636517338207","-0.0199077383799656","-0.0695149005854873","0.0421246701041908","-0.0146146109197397",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAM000202_tp2","0.0155373312523574","-0.04807549696582","-0.00774069997269231","-0.0111502889309409","-0.00912605825938729","-0.0132687548807182","-0.0182435554194263","-0.0144124272919592","-0.0200814190590569","-0.000488582312554777","-0.0119696700888717","-0.0447981929311999","-0.0140980243504518","-0.0100896404203765","0.0541690641055233","-0.0280008137726349","0.0288593558329632","-0.0417546132944124","-0.0191122881448634","-0.0604136920329789","0.0377831399961464","-0.0205263984441743","-0.052731838103378","0.0179699908069812","-0.0413430269872435","-0.0348134516986039","-0.023026069776351","-0.0379156241696742","-0.00628071852448242","-0.0223340703071846","8.95304481470231e-06"
"SAM000202_tp3","0.0387832968816787","-0.0323007857545541","-0.0236027985376198","-0.0112701912414508","-0.00918235364327768","-0.0127848187410058","-0.0195274083587473","-0.0143872942604478","-0.025687634355069","0.0111108782266445","0.0305756119947131","-0.0425829471523776","-0.00680629285697562","-0.00275819999356757","0.046924120139681","-0.0126950885277323","0.0527430304493514","-0.0431106748037211","-0.00791328245252409","-0.0598100620947433","0.0173172087075217","-0.0217860522882551","-0.00352269011413478","0.0157002899183326","-0.0263113797485469","-0.0216770985465854","-0.0151376552987089","-0.0204643186614591","-0.0108955628897604","-0.0292112318614998","0.0109441279089569"
"SAM000202_tp4","-0.0255338296582753","-0.019017923676493","-0.0369611181908978","-0.0111237458240433","-0.0105506003796424","-0.0124164921076615","-0.011927234211406","-0.0168503429094284","0.000632750631841692","-0.0191017237439541","-0.0199341034378642","-0.0469156525068884","-0.0221067504295915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
