"","kingdom","phylum","class","order","family","genus","specie.1","Specie.mergedColors","Specie.brown","Specie.yellow","Specie.green","Specie.turquoise","Specie.black","Specie.blue","Specie.red","Specie.brown.p","Specie.yellow.p","Specie.green.p","Specie.turquoise.p","Specie.black.p","Specie.blue.p","Specie.red.p"
"Streptococcus_thermophilus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_thermophilus","green",-0.0154880612969201,0.014150091607485,0.57795606058461,0.185159781812926,0.0818498131830512,0.0478565195545907,0.013295760224628,0.735282250374616,0.7574004861073,4.92275269947032e-44,4.55931924814145e-05,0.0735031003290686,0.295905829742739,0.771629222320638
"Eggerthella_lenta","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Eggerthella","s__Eggerthella_lenta","green",-0.0752205460357745,0.0475894034215334,0.57448606913368,0.21704963970016,0.442851409971282,0.368337541870056,0.169479114228447,0.10011199683026,0.298612860853908,2.06489809022318e-43,1.62484568818271e-06,1.99986359000603e-24,7.73370253133215e-17,0.000194132342269422
"GGB9632_SGB15089","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__GGB9632","s__GGB9632_SGB15089","green",-0.0298224781422778,0.0441803335355107,0.571468179605038,0.139997684158463,0.053237602357051,0.00360486211760401,-0.0437899586250868,0.514958496548772,0.334605596049639,7.08693305990594e-43,0.00213249489898096,0.244852876187144,0.937278897587824,0.338898056820974
"Ruminococcus_bromii","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_bromii","green",-0.0450605421490092,-0.0152472739146775,0.54406066910055,0.218016746146306,0.281342073935708,0.0707597389593362,-0.0412640457938181,0.325055839600588,0.739247246735918,2.95432847892734e-38,1.45639030206937e-06,3.64683044072828e-10,0.121972925866627,0.367518139549053
"Evtepia_gabavorous","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_unclassified","g__Evtepia","s__Evtepia_gabavorous","green",-0.0326502548861043,0.0410372993950404,0.539769146424268,0.438268524814806,0.201133951551178,0.116793799107527,0.301242621223416,0.475902205730276,0.370158726879798,1.43199815562228e-37,6.67456119718894e-24,9.16700871000984e-06,0.0105203723842558,1.66410432855156e-11
"GGB4596_SGB6358","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_unclassified","f__Clostridia_unclassified","g__GGB4596","s__GGB4596_SGB6358","green",-0.0190519162721746,-0.0229887683665484,0.517187495223843,0.136481690840372,-0.0107153606580079,-0.0386289045693696,-0.0398731505426818,0.677468646143218,0.615748041276994,4.03082015441718e-34,0.00276013353210034,0.815053994445717,0.398926042819049,0.383900084019965
"Adlercreutzia_equolifaciens","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_equolifaciens","green",-0.0746010501797703,-0.0153577667268172,0.477706263661059,0.16063886141724,0.103938029010066,0.0858670211405172,-0.00972103516471426,0.102947136395527,0.73742691900814,1.12131393352599e-28,0.000416322381168546,0.0229049551747573,0.0604015636231383,0.831947588010686
"Ruminococcaceae_bacterium_D5","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_unclassified","s__Ruminococcaceae_bacterium_D5","green",-0.0351819287180714,0.0201758744731884,0.449214857555492,0.00771057180570043,0.128450396561729,0.0137011181994649,-0.068215278662084,0.442356400140149,0.659602745619247,3.63839450709187e-25,0.866334927308718,0.00486860157843758,0.764868181889585,0.136013881356097
"Ruminococcaceae_bacterium","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_unclassified","s__Ruminococcaceae_bacterium","green",-0.00835690186924293,-0.0144817395179857,0.430707160206719,0.0446062310529574,0.096064052282651,-0.107258228562438,-0.16792408119187,0.85524917362703,0.751898660837133,4.68598531661772e-23,0.329962562845589,0.0355677934225068,0.0188692028431089,0.000222634309497452
"Negativibacillus_massiliensis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Negativibacillus","s__Negativibacillus_massiliensis","green",-0.0329443987348803,-0.0119109291839094,0.406719652404909,0.0104278089506243,0.0693339915187611,0.099627480672253,-0.0458062926693943,0.471934659835317,0.794854872946059,1.65462950736491e-20,0.819931064039061,0.129694481350268,0.0292438596200325,0.317104620231479
