"","Specie.brown","Specie.yellow","Specie.green","Specie.turquoise","Specie.black","Specie.blue","Specie.red"
"SAM000201_tp1",-0.0017672024896821,-0.00917441787299867,-0.00346046025489359,-0.00692321560534868,-0.0126607546913812,-0.0036880625500235,-0.0211223386967319
"SAM000201_tp2",0.0278542947898083,-0.00767073724271613,0.0133848608727916,-0.0109664562169297,0.010890352683381,-0.027621631357243,-0.0209648580056948
"SAM000201_tp3",0.0110512750854806,-0.00556999933006111,0.0200706022128414,-0.00755745187476809,-0.0131519449057322,-0.0463268105460467,-0.0217377279257371
"SAM000201_tp4",0.0626742811260065,-0.00385516888180286,0.00241331488163618,0.0461192702080417,-0.0139526640665766,-0.0186106695134123,-0.0209078678016839
"SAM000202_tp1",-0.0111244030010117,-0.00993028929914492,0.0129717546922122,-0.0220331613451878,-0.0127184978749747,-0.031834766391575,-0.0138297521171012
"SAM000202_tp2",-0.0111502889309409,-0.00912605825938729,0.0155373312523574,-0.00774069997269231,-0.0132687548807182,-0.04807549696582,-0.0182435554194263
"SAM000202_tp3",-0.0112701912414508,-0.00918235364327768,0.0387832968816787,-0.0236027985376198,-0.0127848187410058,-0.0323007857545541,-0.0195274083587473
"SAM000202_tp4",-0.0111237458240433,-0.0105506003796424,-0.0255338296582753,-0.0369611181908978,-0.0124164921076615,-0.019017923676493,-0.011927234211406
"SAM000203_tp1",-0.0110704843664855,-0.00305213643160207,-0.0265882133749816,-0.0389797594123261,-0.0148311058210594,0.0112973192547106,0.0630256367344456
"SAM000203_tp2",-0.0110704843664856,-0.00480246156841721,-0.0265275601642545,-0.0352962139042855,-0.0144190000832168,0.00501570624692536,0.0656617407143106
"SAM000204_tp1",0.00816405649991499,0.000685527957860256,-0.00480634624667351,0.00679574776841559,-0.0060459758169919,-0.0379138521401107,-0.0201667714229784
"SAM000205_tp1",-0.0083435412162214,-0.00992452561256645,-0.0279751392869468,-0.0274611907513668,-0.0114714663986471,-0.0071012951770283,-0.00314929817779195
"SAM000205_tp2",-0.0073474712392798,-0.0106233114598472,-0.0235605355036787,-0.0100317554545962,-0.0134088292534878,-0.0133141563705003,0.00407201162875853
"SAM000206_tp1",-0.00872996354151334,-0.0073529537514457,-0.0211201279069041,-0.043524523836364,-0.0109183103371724,-0.00294053196260462,-0.025011941160231
"SAM000208_tp1",-0.0112309966821696,0.000133046071718191,-0.0374413844476461,-0.0173859109075437,0.0262345124339835,0.0208897163484374,-0.00980046347347323
"SAM000208_tp2",-0.0111928165385867,0.00342445572700991,-0.0386916976785704,-0.0340048027219764,-0.0123597254740802,0.0183664845352529,-0.00366786915118656
"SAM000209_tp1",-0.0110704843664856,0.00255921773371232,-0.0295492101391125,-0.02751784001452,-0.010407608542264,-0.00278600137229785,0.0881915512444643
"SAM000209_tp2",-0.0110704843664856,0.00429600054977225,-0.0246818622366798,-0.0324174133555509,-0.00874835324336723,0.00980196255654133,0.0515884456546379
"SAM000209_tp3",-0.0110704843664856,0.0366645817878868,0.0273073999376124,0.0101628207321068,0.0432383929417275,0.0311686910034408,0.786807347019943
"SAM000210_tp1",-0.0112795332260063,-0.00515495205330825,-0.035414804543529,-0.022254101517768,-0.00650742803930431,0.0391988073153121,-0.00298945754107052
"SAM000210_tp2",-0.012637707076746,-0.00890260062193129,-0.0216081688128428,0.0211863615031218,0.00551224672185216,0.0591864009612689,0.028226855807769
"SAM000210_tp3",-0.0126343740307254,0.04570792010686,0.0687097262138789,0.0024349717626809,0.0743812056735342,0.132937949338452,0.0194922310970525
"SAM000211_tp1",-0.0112189653386838,-0.00621985599386864,-0.0300909818372245,-0.0330500401687195,0.00301480761564714,0.00100311937318236,-0.0200680009662811
"SAM000211_tp2",-0.0114196192195986,-0.00459512693983882,-0.000883524772441878,-0.0316524184637995,-0.00440762902213281,-0.0175570543901446,-0.022166462599732
"SAM000212_tp1",-0.0112085988345714,-0.00802340332685795,-0.0320809026678025,-0.0370156977114756,-0.0152921609629788,0.00904685472435191,-0.00108599721470758
"SAM000212_tp2",-0.0111364579360343,-0.00895672289424501,-0.0307890573429649,-0.039555871635836,-0.0133040554954138,0.0103382573920138,-0.0123808742450162
"SAM000212_tp3",-0.0124553932499544,0.00120996091751984,0.00985843206300402,0.0514559714027906,0.039661950376256,0.000351386988002531,0.154444115957988
"SAM000212_tp4",-0.0120725506034815,0.00180889768849815,-0.0203347558497548,0.12826009127667,-0.0135192426403236,0.0104192582048642,0.035222539247786
"SAM000213_tp1",-0.0110704843664857,0.0252339505658354,-0.0218332698572503,-0.0476032715344457,0.0649772666809983,0.00212002836146825,0.00258069797580352
"SAM000213_tp2",-0.0110704843664856,0.0269947681032082,-0.00535291169035635,-0.0464665589606472,0.032519779475072,0.0252495461149881,0.0026979689351362
"SAM000214_tp1",0.0573454929044815,-0.0102843485623892,-0.0344038248188818,-0.0246151332399115,-0.0140266705825827,0.0090480775415023,-0.00879782831891986
"SAM000214_tp2",-0.0110704843664856,0.00468324849301681,-0.00864653082836627,-0.02362100155998,0.0203434002864317,0.11736185825499,-0.000892133781500028
"SAM000214_tp3",-0.0110704843664857,-0.00298735305370108,6.41695461884546e-05,-0.00320833428628322,-0.0117070382177857,0.0410589297534336,-0.000648453047533901
"SAM000216_tp1",-0.0110704843664855,-0.0032638460339604,-0.0229782129745462,-0.028062665974483,0.00441696243019712,0.011298142242956,2.58096294425378e-05
"SAM000216_tp2",-0.0110704843664857,0.00401161057026835,-0.0242788256695614,-0.034674258040606,-0.00902857172051724,0.0242570646434554,-0.000660289686714246
"SAM000216_tp3",-0.0110704843664857,0.00869918748428782,-0.00560101156901948,-0.00632712272053355,0.0201344972863639,0.0673075282656058,0.0258678106034685
"SAM000217_tp1",-0.00856268113779747,-0.00978169146364748,-0.0243895481157941,-0.0337542288446735,-0.014011261659505,-0.0134007696388076,-0.00334041549642591
"SAM000217_tp2",0.0048786534958115,-0.00863420778837157,0.0477435539275684,-0.0189138777092374,-0.013502209675253,-0.0223371526321739,-0.00465909540800098
"SAM000217_tp3",-0.0136659961118204,-0.00825968412916348,0.0446175327229581,0.0409838427361781,0.0113873235296437,-0.0181448385838507,0.0586174003387651
