feature,count,frequency
quest__Vitamin B12,375,0.75
metab__N-acetylglutamate,301,0.602
species__Dysosmobacter_welbionis,300,0.6
metab__N4-acetylcytidine,293,0.586
metab__N-palmitoyl-sphingosine (d18:1/16:0),291,0.582
metab__3-(4-hydroxyphenyl)lactate,291,0.582
species__GGB1266_SGB1699,287,0.574
"metab__sphingomyelin (d18:1/24:1, d18:2/24:0)*",286,0.572
metab__vanillylmandelate (VMA),273,0.546
metab__1-methylurate,259,0.518
metab__1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),244,0.488
species__Faecalibacterium_SGB15346,232,0.464
immune_res__NK Cells (% CD3- 2B4+),219,0.438
immune_pct__NK Cells (% CD3- 2B4+),204,0.408
species__Phocaeicola_plebeius,186,0.372
immune_pct__% CD4+ RO+ CD161+ total IL-17+ d6,178,0.356
species__Bacteroides_ovatus,173,0.346
immune_res__% CD4+ RO+ CD161+ total IL-17+ d6,165,0.33
immune_res__% viable CD3- CCR6- GzA+ INFg+ d1,162,0.324
immune_pct__% CD4+ CD161+ Va7.2- d6,159,0.318
immune_res__% CD4+ CD161+ Va7.2- d6,155,0.31
immune_pct__% viable CD3- CCR6- GzA+ INFg+ d1,149,0.298
species__Dialister_invisus,121,0.242
species__Barnesiella_intestinihominis,119,0.238
species__Clostridium_sp_AF15_49,118,0.236
immune_pct__% CD4+ RO+ CCR6+ total IL-17+ d1,112,0.224
immune_res__% CD4+ RO+ CCR6+ total IL-17+ d1,110,0.22
metab__N-acetylglucosamine/N-acetylgalactosamine,109,0.218
immune_res__% DN RO+ CCR6+ d1,108,0.216
immune_pct__% DN RO- CCR6- INFg- TNFa+ d1,107,0.214
immune_res__% DN RO- CCR6- INFg- TNFa+ d1,106,0.212
species__Odoribacter_splanchnicus,104,0.208
immune_pct__% DN RO+ CCR6+ d1,104,0.208
quest__Potassium,96,0.192
immune_res__% CD8+ M CCR6+ CXCR3- d0,92,0.184
immune_res__% CD4+ RO+ CCR6+ CD161- d6,92,0.184
immune_res__% CD19+ CD3- CD27+ IgG+ d0,89,0.178
immune_pct__DN % RO- CD27+ d0,89,0.178
immune_res__DN % RO+ CD27- d0,89,0.178
immune_res__% CD8+ INFg+ IL4+ d1,80,0.16
immune_pct__% CD4+ RO+ CD161+ IL-17+ INFg+ d6,78,0.156
immune_pct__% CD4+ MAIT d6,78,0.156
species__GGB9635_SGB15106,78,0.156
species__Paraprevotella_clara,77,0.154
quest__Globulin,77,0.154
immune_pct__% CD4+ RO- CCR7- d0,76,0.152
species__Rikenellaceae_bacterium,76,0.152
immune_pct__% CD4+ RO+ CCR6+ IL-22+ IL-17+ d1,74,0.148
species__Clostridium_sp_AM49_4BH,73,0.146
species__Bacteroides_stercoris,73,0.146
immune_pct__CD8+ DN+ MAIT % RO- CD27+ d0,72,0.144
species__Bacteroides_thetaiotaomicron,72,0.144
species__Ruminococcaceae_unclassified_SGB15265,72,0.144
immune_res__% CD4+ MAIT d6,71,0.142
immune_pct__% CD19+ CD3- CD27+ IgG+ d0,70,0.14
immune_res__% CD4+ RO+ INFg- GMCSF+ d1,70,0.14
immune_res__% DN RO- CCR6- total TNFa+ d1,69,0.138
immune_res__% CD8+ RO- CCR7+ d0,69,0.138
immune_res__% CD4+ RO+ CD161+ IL-17+ INFg+ d6,68,0.136
immune_pct__% CD4+ N FOXP3+ d1,67,0.134
immune_pct__% DN RO- CCR6- total TNFa+ d1,67,0.134
immune_res__CD8+ DN+ MAIT % RO- CD27+ d0,66,0.132
immune_res__Total gd Cells (gdTCR CD3hi + CD3lo),63,0.126
immune_res__% CD8+ RO+ CCR6- INFg+ TNFa- d1,63,0.126
immune_res__% CD8+ RO- CCR6- IL4+ GMCSF- d1,59,0.118
immune_res__% CD4+ RO- CCR7- d0,58,0.116
species__Bacteroides_fragilis,58,0.116
species__Pseudoruminococcus_massiliensis,58,0.116
immune_pct__% CD8+ INFg+ IL4+ d1,55,0.11
immune_pct__% CD8+ RO- CCR6- IL4+ GMCSF- d1,55,0.11
immune_pct__% CD4+ RO- CD27- (TEMRA) d0,54,0.108
immune_res__% CD8+ INFg+ TNFa- d1 P8,54,0.108
immune_res__% CD4+ RO+ CCR6+ IL-22+ IL-17+ d1,52,0.104
quest__Monocytes,52,0.104
immune_pct__% CD8+ INFg+ TNFa- d1 P8,52,0.104
immune_res__DN % RO- CD27+ d0,52,0.104
quest__Absolute Neutrophils,50,0.1
immune_pct__% CD4+ RO+ CCR6+ INFg+ IL-17+ d1,49,0.098
immune_pct__% CD8+ M total CCR6+ d0,49,0.098
immune_res__% CD8+ M CCR6+ CXCR3+ d0,47,0.094
species__GGB9342_SGB14306,46,0.092
species__GGB3293_SGB4348,45,0.09
immune_pct__% CD8+ RO+ CCR6- IL4+ GMCSF- d1,44,0.088
