feature,count,frequency,rank,modality
quest__Vitamin B12,299,0.42714285714285716,1,quest
species__Dysosmobacter_welbionis,295,0.42142857142857143,2,species
metab__1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),278,0.39714285714285713,3,metab
metab__N-palmitoyl-sphingosine (d18:1/16:0),276,0.3942857142857143,4,metab
metab__N-acetylglutamate,265,0.37857142857142856,5,metab
metab__3-(4-hydroxyphenyl)lactate,263,0.3757142857142857,6,metab
species__GGB1266_SGB1699,259,0.37,7,species
metab__1-methylurate,257,0.36714285714285716,8,metab
metab__N4-acetylcytidine,256,0.3657142857142857,9,metab
"metab__sphingomyelin (d18:1/24:1, d18:2/24:0)*",229,0.3271428571428571,10,metab
metab__N-acetylglucosamine/N-acetylgalactosamine,222,0.3171428571428571,11,metab
metab__vanillylmandelate (VMA),195,0.2785714285714286,12,metab
species__Phocaeicola_plebeius,185,0.2642857142857143,13,species
immune_res__% CD4+ CD161+ Va7.2- d6,159,0.22714285714285715,14,immune_res
immune_pct__CD8+ DN+ MAIT % RO- CD27- d0,157,0.22428571428571428,15,immune_pct
immune_pct__% CD4+ RO+ CD161+ IL-17+ INFg+ d6,156,0.22285714285714286,16,immune_pct
immune_pct__% CD4+ CD161+ Va7.2- d6,142,0.20285714285714285,17,immune_pct
species__Odoribacter_splanchnicus,134,0.19142857142857142,18,species
immune_res__% CD8+ M CCR6+ CXCR3- d0,131,0.18714285714285714,19,immune_res
species__Bacteroides_ovatus,130,0.18571428571428572,20,species
species__Faecalibacterium_SGB15346,127,0.18142857142857144,21,species
species__Clostridium_sp_AM49_4BH,119,0.17,22,species
species__Ruminococcaceae_unclassified_SGB4191,114,0.16285714285714287,23,species
immune_pct__% CD4+ RO+ CD161+ total IL-17+ d6,109,0.15571428571428572,24,immune_pct
quest__Potassium,108,0.15428571428571428,25,quest
immune_res__% CD8+ INFg+ TNFa- d1 P8,107,0.15285714285714286,26,immune_res
immune_pct__% CD8+ INFg+ TNFa- d1 P8,106,0.15142857142857144,27,immune_pct
immune_pct__% DN RO+ CCR6+ d1,104,0.14857142857142858,28,immune_pct
immune_res__% DN RO+ CCR6+ d1,103,0.14714285714285713,29,immune_res
immune_res__% CD4+ RO+ CD161+ total IL-17+ d6,101,0.1442857142857143,30,immune_res
immune_res__% CD4+ RO+ CCR6+ CD161- d6,98,0.14,31,immune_res
species__Barnesiella_intestinihominis,94,0.13428571428571429,32,species
species__Clostridiaceae_bacterium,85,0.12142857142857143,33,species
immune_pct__% CD4+ RO- CD27- (TEMRA) d0,82,0.11714285714285715,34,immune_pct
immune_pct__NK Cells (% CD3- 2B4+),81,0.11571428571428571,35,immune_pct
immune_pct__% viable CD3- CCR6- GzA+ INFg+ d1,80,0.11428571428571428,36,immune_pct
immune_res__% viable CD3- CCR6- GzA+ INFg+ d1,78,0.11142857142857143,37,immune_res
immune_res__NK Cells (% CD3- 2B4+),76,0.10857142857142857,38,immune_res
immune_res__% CD8+ RO+ CCR6+ d1,72,0.10285714285714286,39,immune_res
species__Dialister_invisus,72,0.10285714285714286,40,species
immune_pct__% CD8+ RO+ CCR6+ d1,68,0.09714285714285714,41,immune_pct
species__Faecalibacterium_prausnitzii,68,0.09714285714285714,42,species
immune_pct__% CD4+ RO+ CCR6+ INFg+ IL-17+ d1,67,0.09571428571428571,43,immune_pct
quest__Non HDL Cholesterol,67,0.09571428571428571,44,quest
immune_res__% CD8+ MAIT INFg+ GzA+ d1,66,0.09428571428571429,45,immune_res
immune_res__% CD8+ RO- CCR7+ d0,66,0.09428571428571429,46,immune_res
immune_pct__% CD4+ RO- CCR7- d0,65,0.09285714285714286,47,immune_pct
species__Bacteroides_uniformis,64,0.09142857142857143,48,species
species__Clostridium_sp_AF34_10BH,63,0.09,49,species
species__Roseburia_sp_AF02_12,63,0.09,50,species
immune_res__% CD8+ RO+ CCR6- INFg+ TNFa- d1,62,0.08857142857142856,51,immune_res
quest__Globulin,62,0.08857142857142856,52,quest
species__Paraprevotella_clara,59,0.08428571428571428,53,species
immune_res__% CD4+ RO- CCR7- d0,58,0.08285714285714285,54,immune_res
species__Collinsella_aerofaciens,56,0.08,55,species
immune_res__% CD8+ INFg+ IL4+ d1,55,0.07857142857142857,56,immune_res
immune_res__% CD4+ RO+ CD161+ IL-17+ INFg+ d6,54,0.07714285714285714,57,immune_res
immune_res__% viable CD3- CCR6- d1,54,0.07714285714285714,58,immune_res
species__Clostridium_sp_AF15_49,53,0.07571428571428572,59,species
species__GGB9635_SGB15106,53,0.07571428571428572,60,species
immune_pct__% CD8+ MAIT INFg+ GzA+ d1,52,0.07428571428571429,61,immune_pct
species__Bacteroides_stercoris,52,0.07428571428571429,62,species
immune_res__% CD19+ CD3- CD27+ IgG+ d0,51,0.07285714285714286,63,immune_res
metab__4-vinylguaiacol sulfate,49,0.07,64,metab
immune_pct__% CD4+ MAIT d6,47,0.06714285714285714,65,immune_pct
species__Flavonifractor_plautii,47,0.06714285714285714,66,species
immune_res__DN % RO+ CD27- d0,46,0.06571428571428571,67,immune_res
species__Ruminococcaceae_unclassified_SGB15265,46,0.06571428571428571,68,species
immune_res__CD4:CD8 d0,45,0.06428571428571428,69,immune_res
immune_pct__% CD4+ CCR7+ RO- CCR4+ d0,44,0.06285714285714286,70,immune_pct
immune_pct__% CD14+ d0,42,0.06,71,immune_pct
immune_pct__% CD4+ M CD25+ CD27- d0,42,0.06,72,immune_pct
immune_pct__% viable CD3- CCR6- d1,42,0.06,73,immune_pct
immune_res__% CD4+ CCR7+ RO- CCR4+ d0,42,0.06,74,immune_res
immune_res__% CD4+ RO+ CCR6+ CD161+ d6,41,0.05857142857142857,75,immune_res
immune_pct__CD3+ gdTCR+ CD3lo,40,0.05714285714285714,76,immune_pct
immune_res__% CD4+ MAIT d6,40,0.05714285714285714,77,immune_res
immune_res__CD3+ gdTCR+ CD3lo,40,0.05714285714285714,78,immune_res
species__Alistipes_communis,40,0.05714285714285714,79,species
species__GGB3293_SGB4348,40,0.05714285714285714,80,species
species__Clostridia_unclassified_SGB4367,39,0.055714285714285716,81,species
immune_res__% CD8+ RO+ CCR6- IL4+ GMCSF- d1,37,0.05285714285714286,82,immune_res
species__Bacteroides_fragilis,36,0.05142857142857143,83,species
bmi,34,0.04857142857142857,84,metadata
immune_pct__% CD19+ CD3- CD27+ IgG+ d0,32,0.045714285714285714,85,immune_pct
