,Orthology,Reaction,Reaction_decode,Pathway,Pathway_decode,Module,Module_decode,Annotation
K01873,"VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]",R03665,ATP + L-Valine + tRNA(Val) <=> AMP + Diphosphate + L-Valyl-tRNA(Val),map00970,Aminoacyl-tRNA biosynthesis,,,L-Valine Biosynthesis
K14260,alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],R01215,L-Valine + Pyruvate <=> 3-Methyl-2-oxobutanoic acid + L-Alanine,map01230,Biosynthesis of amino acids,,,L-Valine Biosynthesis
K00052,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]",R10052,"(2R,3S)-3-Isopropylmalate + NAD+ <=> 4-Methyl-2-oxopentanoate + CO2 + NADH + H+",map01230,Biosynthesis of amino acids,M00535,"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",Pyruvate =>Leucine
K00053,"ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]",R05071,(S)-2-Acetolactate <=> 3-Hydroxy-3-methyl-2-oxobutanoic acid,map01230,Biosynthesis of amino acids,M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Threonine =>Leucine
K00826,ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42],R10991,(S)-2-Aminobutanoate + 2-Oxoglutarate <=> 2-Oxobutanoate + L-Glutamate,map01230,Biosynthesis of amino acids,M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Threonine =>Leucine
K01649,"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]",R01213,alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O,map01230,Biosynthesis of amino acids,M00432,"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",Pyruvate =>Leucine
K01652,"ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",R08648,Pyruvate + 2-Oxobutanoate <=> (S)-2-Aceto-2-hydroxybutanoate + CO2,map01230,Biosynthesis of amino acids,M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Threonine =>Leucine
K01653,ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6],R08648,Pyruvate + 2-Oxobutanoate <=> (S)-2-Aceto-2-hydroxybutanoate + CO2,map01230,Biosynthesis of amino acids,M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Threonine =>Leucine
K01687,ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9],R05070,"(R)-2,3-Dihydroxy-3-methylpentanoate <=> (S)-3-Methyl-2-oxopentanoic acid + H2O",map01230,Biosynthesis of amino acids,M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Threonine =>Leucine
K01703,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]",R10170,"(2R,3S)-3-Isopropylmalate <=> alpha-Isopropylmalate",map01230,Biosynthesis of amino acids,M00535,"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",Pyruvate =>Leucine
K01704,"leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]",R10170,"(2R,3S)-3-Isopropylmalate <=> alpha-Isopropylmalate",map01230,Biosynthesis of amino acids,M00535,"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",Pyruvate =>Leucine
K01754,"ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]",R00996,L-Threonine <=> 2-Oxobutanoate + Ammonia,map01230,Biosynthesis of amino acids,M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Threonine =>Leucine
K01869,"LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]",R03657,ATP + L-Leucine + tRNA(Leu) <=> AMP + Diphosphate + L-Leucyl-tRNA,map00970,Aminoacyl-tRNA biosynthesis,,,Leucine<=>Diphosphate
K01870,"IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]",R03656,ATP + L-Isoleucine + tRNA(Ile) <=> AMP + Diphosphate + L-Isoleucyl-tRNA(Ile),map00970,Aminoacyl-tRNA biosynthesis,,,Leucine<=>Diphosphate
K03719,"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",,,,,,,Pyruvate =>Leucine
K11250,leuE; leucine efflux protein,,,,,,,Pyruvate =>Leucine
K11258,ilvM; acetolactate synthase II small subunit [EC:2.2.1.6],R08648,Pyruvate + 2-Oxobutanoate <=> (S)-2-Aceto-2-hydroxybutanoate + CO2,map01230,Biosynthesis of amino acids,M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Threonine =>Leucine
