"","sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*","ceramide (d18:1/17:0, d17:1/18:0)*","1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*","glutarate (C5-DC)","% CD8+ M total CXCR3+ d0","% CD8+ MAIT IL-17- INFg+ d6","% CD8+ MAIT INFg+ TNFa+ d6","% CD8+ MAIT total INFg+ d6","% CD4+ M CD25- CD27+ d0","tetradecanedioate (C14-DC)","hexadecanedioate (C16-DC)","eicosanedioate (C20-DC)","octadecenedioate (C18:1-DC)","% CD4+ RO+ CCR6+ CD161- IL-17+ INFg+ d6","% CD4+ RO+ CCR6+ IL-17+ INFg+ d6","% CD4+ RO+ CCR6- IL-17+ INFg+ d6","% CD4+ RO+ CCR6+ IL-17+ INFg- d6","% CD4+ RO+ CCR6+ total IL-17+  d6","% CD4+ RO+ CCR6+ CD161+ d6","glycoursodeoxycholate","isoursodeoxycholate"
"K01873",0.256185919343814,0.282816131237184,0.269829118250171,0.197648667122351,0.234741655722404,0.13148954510483,0.0762610487880044,0.0246891639729894,0.117358343993587,0.0725632262474368,-0.00497607655502392,-0.107669172932331,-0.211838687628161,-0.244343582307299,-0.248467159324133,-0.214317944971658,-0.225495758880775,-0.232292991040039,-0.259951193237405,-0.316336295283664,-0.295967190704033
"K14260",0.0553656869446343,-0.0267942583732057,0.0812303485987697,0.0409295967190704,0.0276150570473039,-0.0686840792895263,-0.0732669344666395,-0.0461247171898485,0.145973326982704,-0.0853588516746411,-0.0500888585099111,0.180232399179768,0.049377990430622,0.044253352874656,-0.0292008722044758,-0.0416193827428215,-0.163810487626376,-0.13069214891377,-0.101511392120949,-0.102501708817498,-0.358824333561176
"K00052",0.291127819548872,0.226001367053999,0.163663704716336,0.176951469583049,0.038401334280137,0.129807988227319,0.144278029376086,0.0841700900230874,0.0166385257036575,0.0229391660970608,-0.00492139439507861,-0.229528366370472,-0.201558441558442,-0.245833732280527,-0.256765347258645,-0.200235170916104,-0.222624768862286,-0.222846518770226,-0.193384328828394,-0.315816814764183,-0.281804511278196
"K01649",0.248776486671223,0.254627477785373,0.247081339712919,0.12822966507177,0.298939827947225,0.155441477213757,0.139725334997025,0.120438280510541,-0.0230095634833652,0.065892002734108,0.0681613123718387,-0.286917293233083,-0.211428571428571,-0.290948364497507,-0.296233005523777,-0.332449175884266,-0.224292677349218,-0.244131840512772,-0.119803950054664,-0.234203691045796,-0.161831852358168
"K01703",0.33768967874231,0.235816814764183,0.256185919343814,0.271168831168831,0.283136359656788,0.100414920856204,0.0816340484605905,0.0590024538800788,0.0542495234117607,0.0793438140806562,0.0586466165413534,-0.337088174982912,-0.197949419002051,-0.303225012900794,-0.308933197601472,-0.283063758516634,-0.160119214745461,-0.200030075617811,-0.201464225494183,-0.248940533151059,-0.132740943267259
"K01704",-0.112836637047163,0.120738209159262,0.221626794258373,-0.112125768967874,0.311366603618512,0.15529109407837,0.0373375626102617,-0.00187287677978934,0.0928038722074173,-0.0325905673274094,-0.0899521531100478,-0.241038961038961,-0.25799043062201,-0.305576442216346,-0.284927237118766,-0.104007439068542,-0.0755617230104307,-0.158129297749537,-0.159014006970877,-0.0728366370471634,-0.101654135338346
"K03719",0.12596035543404,-0.023485987696514,-0.0293643198906357,-0.0612987012987013,-0.00881767910668863,-0.146828624914314,-0.0766438579249825,-0.0470543202630286,-0.040413707460979,-0.35146958304853,-0.256131237183869,-0.115953520164046,-0.167327409432673,0.0686425964731689,0.0493243197161745,0.0423030125513435,0.0288739567573783,0.0211486144738077,-0.0474676839655133,0.100396445659604,-0.0638961038961039
"K11250",-0.000261827310229443,-0.132877359941442,0.18229726474725,0.179613534817398,0.0241867937573269,0.0757208083688412,-0.00531883988422234,-0.0102113348964178,-0.0862797657526775,-0.133401014561901,-0.108003765469645,-0.186388316469585,-0.0758644631389812,0.0321569853746611,-0.0421550613794817,-0.00625206726291801,-0.0387364607478799,-0.0388327938172936,-0.181901836919065,0.00206189006805687,-0.0486671512888978
"K00053",0.223540669856459,0.369022556390977,0.130580997949419,0.0835816814764183,0.255015482257627,0.022420758366804,0.0381852114135705,-0.00401916622816107,0.0976436734392125,0.0999316473000684,0.0890498974709501,-0.156855775803144,-0.0953383458646617,-0.24382408048177,-0.239417076271997,-0.162922655966971,-0.189608383649659,-0.195614430837566,-0.198265078590977,-0.265153793574846,-0.194723171565277
"K00826",0.218646616541353,0.297744360902256,0.19866028708134,0.102146274777854,0.126209013198371,0.0938390764815502,0.0391969212755842,-0.00224198388237556,-0.0242947084432205,-0.0398086124401914,-0.167354750512645,-0.152809295967191,-0.331838687628161,-0.223782246896894,-0.226771567475583,-0.198225299279049,-0.147705600760755,-0.178799436782761,-0.281210481418964,-0.2180997949419,-0.220478468899522
