"","sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*","ceramide (d18:1/17:0, d17:1/18:0)*","1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*","glutarate (C5-DC)","% CD8+ M total CXCR3+ d0","% CD8+ MAIT IL-17- INFg+ d6","% CD8+ MAIT INFg+ TNFa+ d6","% CD8+ MAIT total INFg+ d6","% CD4+ M CD25- CD27+ d0","tetradecanedioate (C14-DC)","hexadecanedioate (C16-DC)","eicosanedioate (C20-DC)","octadecenedioate (C18:1-DC)","% CD4+ RO+ CCR6+ CD161- IL-17+ INFg+ d6","% CD4+ RO+ CCR6+ IL-17+ INFg+ d6","% CD4+ RO+ CCR6- IL-17+ INFg+ d6","% CD4+ RO+ CCR6+ IL-17+ INFg- d6","% CD4+ RO+ CCR6+ total IL-17+  d6","% CD4+ RO+ CCR6+ CD161+ d6","glycoursodeoxycholate","isoursodeoxycholate"
"K01873",0.131326584176978,0.0102197225346832,-0.0249658792650919,0.031679040119985,-0.0178840595819696,0.199654433938241,0.237978245820998,0.258370966785271,-0.140350351254626,-0.262386201724784,-0.18894338207724,-0.0855643044619423,-0.214248218972628,-0.0109551400333503,0.00418154003106695,0.0600527091883954,0.0324744765237173,0.0328699405623775,0.0361344588362038,-0.101048368953881,-0.157387326584177
"K14260",-0.0507206599175103,-0.0229261342332208,-0.0102737157855268,-0.0287634045744282,0.112838757010223,0.0616979536230316,0.164974771891515,0.135561291618311,-0.204324864802613,-0.0601934758155231,-0.0828286464191976,-0.126311211098613,-0.13096062992126,0.123236326081626,0.113522512536391,0.162347510398061,0.0324474794528958,0.0690574714023595,-0.0126227629738291,-0.222911136107987,-0.261750281214848
"K00052",0.0356145481814773,-0.0411818522684664,-0.0297352830896138,-0.0608233970753656,0.00278369796914924,0.11152307077971,0.166186696754578,0.202520026604678,-0.134140689665751,-0.115344581927259,-0.103364079490064,0.00581027371578553,-0.159493063367079,0.0989562320427603,0.0954554999057479,0.0695985040049342,0.0512944345608319,0.0727080205595427,0.0158624454861237,-9.29883764529434e-05,-0.102632170978628
"K01649",-0.0190746156730409,-0.0492268466441695,0.00928383952005999,-0.0130993625796775,0.0478208114484667,0.0987623213285051,0.200099594222231,0.217962351114571,-0.0760938530740999,-0.139731533558305,-0.132094488188976,0.0755935508061492,-0.213876265466817,0.0738662015830281,0.0785733569395752,0.109200652770845,0.0974954217600092,0.0972149939483567,-0.0217028731263435,-0.121709786276715,-0.126149231346082
"K01703",-0.139029621297338,-0.0869621297337833,-0.118800149981252,0.079793025871766,0.108702205825463,0.221309311768106,0.276315868964439,0.287707783744624,-0.12485919548412,-0.232137982752156,-0.202447694038245,0.0976767904011999,-0.170285714285714,-0.0224052412127858,-0.0319524852302189,-0.0796692875370274,-0.134376420176701,-0.112315129081685,-0.0344756214016678,0.0236580427446569,-0.05343232095988
"K01704",0.0524844394450694,0.115050618672666,0.188451443569554,-0.19619647544057,0.191313242539224,0.0178992458804274,0.0564235018548505,0.0114947528208835,-0.079156686157308,-0.0704281964754406,-0.137661792275966,-0.291530558680165,-0.213462317210349,-0.0978013227018951,-0.0796502384827266,0.00597287161525103,-0.135516296500275,-0.127589242728667,-0.00566944439651545,-0.0128653918260217,0.0357345331833521
"K03719",-0.088917885264342,-0.0441814773153356,-0.0209883764529434,0.162654668166479,-0.0382188532596233,-0.104890720747596,-0.105563455275251,-0.0811651935875432,-0.0283934526273892,0.135832020997375,0.070326209223847,0.242624671916011,0.0723779527559055,0.073293246559378,0.0562108168164732,0.0542208345424647,0.0383808356845523,0.0439775687703063,-0.0415309299839981,0.117744281964754,0.0598995125609299
"K11250",-0.119252408593094,-0.163482367658067,-0.131955568924581,0.0684174025482526,0.0142018308002024,-0.00634429653635484,-0.011130876282293,-0.0233901544019082,-0.100372479112314,-0.000398837486933426,-0.0143618769827522,0.026409005560031,0.0138251237293091,0.116022373751333,0.0949955682660987,-0.0259718539784656,-0.0918235957827263,-0.0316200324863642,0.0245049385605151,-0.0224057208781011,-0.112639906706927
"K00053",-0.014281214848144,-0.0160929883764529,-0.123035620547432,-0.0436655418072741,-0.057230790467024,0.222755170074519,0.245810760220647,0.249731904122394,-0.159750294005955,-0.150188226471691,-0.12128383952006,-0.0408878890138733,-0.155569553805774,0.0726512969517283,0.070147283806672,0.0646186110459604,0.109818084752752,0.115206771963792,0.0247055788622758,-0.164472440944882,-0.204691413573303
"K00826",0.0603974503187102,0.0212763404574428,-0.0809028871391076,-0.0615133108361455,0.0211327071041556,0.128552401911465,0.188721299653916,0.207355501956261,-0.24270477319298,-0.145040869891264,-0.124373453318335,-0.0470791151106112,-0.128884889388826,0.0602112734801226,0.0912679605346077,0.158975582876443,0.0396826944330552,0.064908983740581,0.0159974322574693,-0.0591256092988376,-0.208362954630671
