"","Annotation","Color"
"K01873","L-Valine Biosynthesis","#E64B35FF"
"K14260","L-Valine Biosynthesis","#E64B35FF"
"K00052","Pyruvate =>Leucine","#4DBBD5FF"
"K01649","Pyruvate =>Leucine","#4DBBD5FF"
"K01703","Pyruvate =>Leucine","#4DBBD5FF"
"K01704","Pyruvate =>Leucine","#4DBBD5FF"
"K03719","Pyruvate =>Leucine","#4DBBD5FF"
"K11250","Pyruvate =>Leucine","#4DBBD5FF"
"K00053","Threonine =>Leucine","#00A087FF"
"K00826","Threonine =>Leucine","#00A087FF"
"K01652","Threonine =>Leucine","#00A087FF"
"K01653","Threonine =>Leucine","#00A087FF"
"K01687","Threonine =>Leucine","#00A087FF"
"K01754","Threonine =>Leucine","#00A087FF"
"K11258","Threonine =>Leucine","#00A087FF"
"K01869","Leucine<=>Diphosphate","#3C5488FF"
"K01870","Leucine<=>Diphosphate","#3C5488FF"
