"","Annotation","Color"
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*","Lipids","#FED439FF"
"ceramide (d18:1/17:0, d17:1/18:0)*","Lipids","#FED439FF"
"1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*","Lipids","#FED439FF"
"glutarate (C5-DC)","Lipids","#FED439FF"
"% CD8+ M total CXCR3+ d0","CD8 CXCR3+","#709AE1FF"
"% CD8+ MAIT IL-17- INFg+ d6","INFg+ CD8 MAIT","#8A9197FF"
"% CD8+ MAIT INFg+ TNFa+ d6","INFg+ CD8 MAIT","#8A9197FF"
"% CD8+ MAIT total INFg+ d6","INFg+ CD8 MAIT","#8A9197FF"
"% CD4+ M CD25- CD27+ d0","Treg Memory","#D2AF81FF"
"tetradecanedioate (C14-DC)","Dicarboxylate","#FD7446FF"
"hexadecanedioate (C16-DC)","Dicarboxylate","#FD7446FF"
"eicosanedioate (C20-DC)","Dicarboxylate","#FD7446FF"
"octadecenedioate (C18:1-DC)","Dicarboxylate","#FD7446FF"
"% CD4+ RO+ CCR6+ CD161- IL-17+ INFg+ d6","Th17 Memory","#D5E4A2FF"
"% CD4+ RO+ CCR6+ IL-17+ INFg+ d6","Th17 Memory","#D5E4A2FF"
"% CD4+ RO+ CCR6- IL-17+ INFg+ d6","Th17 Memory","#D5E4A2FF"
"% CD4+ RO+ CCR6+ IL-17+ INFg- d6","Th17 Memory","#D5E4A2FF"
"% CD4+ RO+ CCR6+ total IL-17+  d6","Th17 Memory","#D5E4A2FF"
"% CD4+ RO+ CCR6+ CD161+ d6","Th17 Memory","#D5E4A2FF"
"glycoursodeoxycholate","2nd Bile Acid","#197EC0FF"
"isoursodeoxycholate","2nd Bile Acid","#197EC0FF"
