"","Annotation","Color"
"K00055","Phenol<=>Benzoic Acid","#E64B35FF"
"K21759","Phenol<=>Benzoic Acid","#E64B35FF"
"K01612","Phenol<=>Benzoic Acid","#E64B35FF"
"K02549","Chorismate<=>Benzoic Acid","#4DBBD5FF"
"K01911","Chorismate<=>Benzoic Acid","#4DBBD5FF"
"K00796","Chorismate<=>Benzoic Acid","#4DBBD5FF"
"K12942","Chorismate<=>Benzoic Acid","#4DBBD5FF"
"K03179","Chorismate<=>Benzoic Acid","#4DBBD5FF"
"K18285","Chorismate<=>Benzoic Acid","#4DBBD5FF"
"K11782","Chorismate<=>Benzoic Acid","#4DBBD5FF"
"K03182","Chorismate<=>Benzoic Acid","#4DBBD5FF"
"K01451","Hippurate<=>Benzoate","#00A087FF"
"K02619","Folate<=>Benzoic Acid","#3C5488FF"
"K01665","Folate<=>Benzoic Acid","#3C5488FF"
"K03342","Folate<=>Benzoic Acid","#3C5488FF"
"K05782","Benzoate Transport","#F39B7FFF"
