"","Annotation","Color"
"phenol sulfate","Phenol","#FED439FF"
"3-hydroxy-2-ethylpropionate","BCAA","#709AE1FF"
"% CD4+ RO+ CCR6+ IL-22+ IL-17- d1","Th22","#8A9197FF"
"octadecenedioate (C18:1-DC)","Fatty Acid","#D2AF81FF"
"octadecenedioylcarnitine (C18:1-DC)*","Fatty Acid","#D2AF81FF"
"pantothenate","Vitamin B5/6","#FD7446FF"
"pyridoxate","Vitamin B5/6","#FD7446FF"
"pregnenediol sulfate (C21H34O5S)*","Steroids","#D5E4A2FF"
"androstenediol (3beta,17beta) monosulfate (1)","Steroids","#D5E4A2FF"
"dehydroepiandrosterone sulfate (DHEA-S)","Steroids","#D5E4A2FF"
"5alpha-androstan-3beta,17beta-diol disulfate","Steroids","#D5E4A2FF"
"% CD8+ MAIT INFg+ GzA- d1","CD8 MAIT","#197EC0FF"
"% CD8+ MAIT INFg- TNFa+ d1","CD8 MAIT","#197EC0FF"
"% CD8+ MAIT total Granzyme+ d1","CD8 MAIT","#197EC0FF"
"hippurate","Hippurate","#F05C3BFF"
