"","trimethylamine N-oxide","% CD19+ CD3- CD27+ IgG- d0","1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*","1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","% CD4+ RO+ CCR6+ d0","CD4+ CCR6+ as % of RO+","% CD4+ M total CCR6+ d0","% CD4+ M CCR6+ CXCR3+ d0","hexanoylglutamine","stearoylcarnitine (C18)","% CD8+ MAIT INFg+ TNFa- d6","% CD8+ MAIT INFg+ GzA- d1","% CD8+ MAIT INFg- GzA+ d1","% CD8+ MAIT total TNFa+ d6","% CD8+ MAIT total Granzyme+ d1","hippurate","NK % CD56lo CD16-","CD3+ gdTCR+ CD3hi","Total gd Cells (gdTCR CD3hi + CD3lo)","CD3+ gdTCR+ CD3lo","% CD4+ RO+ CCR6+ total IL-17+  d6","% CD4+ RO+ IL-17+ INFg- d6","% CD4+ IL-17+ IL-22- d6","% CD4+ RO+ INFg- GMCSF+ d1"
"K00209",-0.0208344725839347,0.178962047534909,0.117925302171273,-0.0122491387370115,-0.00924153770783453,-0.0209446988877322,0.0151747142835745,-0.0363787988604956,-0.074687775583246,0.163066659436465,0.0970361459322626,0.131237504947584,0.167069986331962,-0.0799923439387831,-0.142825893785991,-0.144479786678987,0.147536501394897,0.000314433165929607,-0.156827627751944,-0.120775456678639,-0.024788416690187,0.0101166144895779,0.00702713787747673,-0.00550960421132903,-0.0876739671342247
"K19709",-0.0897836729234004,0.164228690074683,0.0120507367266609,0.032244247208483,0.139024006364297,0.0122288729433579,0.00609642223553953,-0.00328273377310981,-0.0775732240169708,-0.162798632005457,-0.0691638392083238,0.0772771690723847,-0.0312374174579131,0.246632685939822,0.0363739689698136,-0.0171808860026624,-0.231678255724944,-0.0910703705030831,-0.011696106951494,-0.0860509448253901,-0.0813666952352729,0.147005365869846,0.0110635416460246,0.0350807354569192,-0.00372332470486629
"K00929",-0.151551606288448,-0.289694583869029,0.0922761449077238,0.0967600820232399,0.0071907040328093,-0.200637073459516,-0.17161995898838,-0.145907667924337,-0.193502081660819,0.0236226930963773,-0.00330827067669173,0.123661675910803,0.11928361501654,0.0993348965202424,-0.0774331142051442,-0.147347847527727,-0.0242515379357485,-0.0235955132986599,-0.208446121767394,-0.106130205501429,0.118551839127782,0.27947066948161,0.111173390663177,0.152132008275926,0.265899272806778
"K00626",0.302857142857143,0.294165094908442,0.181845522898154,0.142337662337662,0.132303485987697,0.134715026020037,0.129268626110731,0.147438789334206,0.02927002662398,0.126261107313739,0.012904989747095,0.101958237053686,0.0369676670492519,-0.111488588098345,-0.0525653820831178,0.0168217795117044,0.171127819548872,-0.00974716163496205,-0.119623766345163,-0.176304924661397,-0.17531890590884,-0.237146099080247,-0.226256716118492,-0.23507457605181,-0.174563897916182
"K00074",0.205058099794942,0.228392530349976,0.065974025974026,0.109555707450444,0.0858783321941217,0.0646506350769998,0.06580997949419,0.090049077917887,0.0360782812987778,0.110266575529733,0.0287628161312372,0.0576476199296292,0.0192357646221514,-0.146664570584801,-0.0638440401373629,0.0350932408349867,0.211592617908407,0.0185510495633149,-0.0937030050891139,-0.169195855118598,-0.203784472632867,-0.293811261972253,-0.261035996227582,-0.267529769046693,-0.208440422235729
"K18122",0.0428434723171565,-0.132884915299998,0.206261107313739,0.202652084757348,0.179056732740943,0.111925301200126,0.0669036226930964,-0.010799874230322,0.162878606818355,0.212494873547505,0.240656185919344,0.060591619522235,0.293184770662429,-0.0417791692493615,-0.038142370874356,-0.280239905670192,-0.286370471633629,0.0905269345676279,-0.111188581906881,-0.116301643462663,-0.0974692724186321,-0.100876293601957,-0.0438842331565171,-0.118255020811175,-0.168384644892601
"K18120",0.0324538619275461,-0.159954064712961,0.256623376623377,0.286643882433356,0.203144224196856,0.115780551589577,0.0966780587833219,0.00198225539670466,0.155386792437252,0.269391660970608,0.233328776486671,0.0538546530126441,0.189090163815904,0.0774883283067347,-0.128371635308316,-0.226615354885319,-0.236445659603554,-0.0401643210147524,-0.120362015874607,-0.155169114059154,-0.230951178243166,-0.155272115832907,-0.127400987160618,-0.15940503383333,-0.141958768577151
"K18119",0.239891706709746,0.0662686125860614,0.0396126344298908,0.0858319340633856,0.0422662432280257,0.0276041349724583,-0.012543089009741,-0.0456454310090495,0.103399941840198,0.154169199813294,0.144908925811555,-0.0933030619922997,0.110583711139772,-0.125259064351197,0.0457082343956736,-0.0920461165651393,0.0555890008021672,0.15445750188883,-0.0731081845321922,-0.14797413905454,-0.235666722601334,-0.0958458301110009,-0.0433759722485953,-0.116401083522366,-0.109279692444523
"K14534",0.413151059466849,0.235569956330686,0.147751196172249,0.0810936431989064,0.0752426520847573,0.10787865540127,0.06107997265892,0.0278746120957297,0.0354630775631033,0.165331510594668,0.14673957621326,0.102574423014929,0.251719188502525,-0.0849938138819636,-0.0510752321098903,-0.228406942784533,0.125987696514012,0.0658924531283549,-0.146200749405163,-0.226369179787795,-0.268959956097536,-0.272580623137202,-0.215921364010602,-0.272957196013402,-0.210914857627916
"K01039",0.147068674430465,0.199151007466985,0.353604604277599,0.314028120500299,0.280261655930374,0.163569002030009,0.132044648291863,0.0739864795604344,0.079874497647362,0.139672861745312,0.225961899949913,0.0803922779149818,0.121923042974894,0.143869794778265,-0.109608798844548,-0.192289298040399,-0.108613182594353,-0.25095353319936,-0.253522089824107,-0.244526321106233,-0.126509937209683,-0.227379918937347,-0.188990587493238,-0.185668487322459,-0.204942069150032
