"","trimethylamine N-oxide","% CD19+ CD3- CD27+ IgG- d0","1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*","1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","% CD4+ RO+ CCR6+ d0","CD4+ CCR6+ as % of RO+","% CD4+ M total CCR6+ d0","% CD4+ M CCR6+ CXCR3+ d0","hexanoylglutamine","stearoylcarnitine (C18)","% CD8+ MAIT INFg+ TNFa- d6","% CD8+ MAIT INFg+ GzA- d1","% CD8+ MAIT INFg- GzA+ d1","% CD8+ MAIT total TNFa+ d6","% CD8+ MAIT total Granzyme+ d1","hippurate","NK % CD56lo CD16-","CD3+ gdTCR+ CD3hi","Total gd Cells (gdTCR CD3hi + CD3lo)","CD3+ gdTCR+ CD3lo","% CD4+ RO+ CCR6+ total IL-17+  d6","% CD4+ RO+ IL-17+ INFg- d6","% CD4+ IL-17+ IL-22- d6","% CD4+ RO+ INFg- GMCSF+ d1"
"K00209",-0.124114450221713,0.00371181678388549,-0.15630505104802,-0.191130192098553,-0.195673123646934,0.0170296411641015,0.0777310556579263,0.0343604579570873,0.0519684356346911,0.00217544608492474,-0.0764706806542166,-0.0140529017858434,0.0357747842090383,-0.101918191208097,0.0879000195028097,0.0547442035704878,0.0995214073085502,0.151269059867718,0.0255269093330759,0.0645960861227602,0.0143769613370559,-0.0560725820142702,-0.05565341342056,-0.0100673813843167,0.177624086113259
"K19709",0.102706177886827,0.0215991980254639,0.109335780658155,0.054124200942924,0.0139686349980908,0.117169098477031,-0.0479221864863402,-0.0234889024931996,0.0523018446163072,0.0521415160019664,-0.067364818814257,-0.017069551432065,-0.0660601610876155,0.0986098148289246,-0.0615026072514238,0.0186318689997642,0.0725755626747113,0.101812246020986,-0.106750426892634,-0.0480690878546393,0.0165891171096106,-0.110959270371792,-0.118538811413412,-0.0576050077847876,0.137697985404017
"K00929",0.0990086239220097,-0.17577766447668,0.0261057367829021,-0.0140472440944882,0.00390251218597675,0.0329741040641311,-0.0295793469506849,-0.0184929103024672,-0.0209706932261041,-0.00940382452193476,-0.12256767904012,-0.0242217665268557,0.0878535764448352,0.00657832572327833,-0.139552606155075,-0.111750280284023,-0.105703787026622,-0.149611318351636,-0.0240334568848644,-0.0817721090246856,-0.0492933136369002,0.0056663002119302,0.0591416718506919,0.0387203796637098,-0.0758166601759091
"K00626",-0.0709741282339708,0.151963284055848,-0.0539482564679415,-0.0466651668541432,-0.116820397450319,-0.0756466504899194,-0.0896139326794149,-0.0492424356083213,-0.0540330563698774,-0.0992965879265092,0.0280614923134608,-0.0692621173540135,-0.0780624037908952,0.0371931877076735,0.134491547905755,0.131484329779548,0.173273340832396,0.256747372691338,0.136349592055949,0.228547945216097,0.161688188395526,-0.0306352165507904,-0.0701894897359677,-0.07218225099534,0.0702822689583205
"K00074",-0.131140607424072,0.236673965890375,-0.170441694788151,-0.157063367079115,-0.196706411698538,-0.199131550389473,-0.155554788983735,-0.144997615279912,-0.122227554982701,-0.027071616047994,-0.0577817772778403,-0.139710692765828,-0.118492987439732,0.127819898492756,0.18451112359687,0.130473327243824,0.120773903262092,0.295197085551858,0.180219426037645,0.228910910190124,0.0734419975936337,-0.042612737326988,-0.12668544467794,-0.117025058215111,0.111401745820491
"K18122",0.109795275590551,0.0463419023959493,0.120635920509936,0.0851143607049119,0.0884439445069366,-0.134500266541065,-0.103160259708042,-0.144520669174788,-0.171806101348178,0.147872515935508,-0.0195545556805399,-0.162532739153607,-0.0856937589476426,0.335233638636887,0.145822678319319,-0.00507301272376599,-0.0361964754405699,0.116108053962562,-0.058477111671424,-0.0429228579616371,-0.0455075199532483,0.137110066906891,0.0751479591805403,0.083671176786478,0.0376308606095659
"K18120",0.226990626171729,0.0560668326547148,0.191067116610424,0.115944506936633,0.0736677915260592,-0.149958377734885,-0.232807248305096,-0.244715347183386,-0.231547529797768,0.235389576302962,0.0148211473565804,-0.0303943521187069,0.0287225729661385,0.246442739681557,-0.00389104478326488,-0.0677671699687463,-0.235035620547432,0.0631939538799003,-0.0397717560757268,0.0323068823989679,0.0503762546193077,-0.0736679020141841,-0.0978885259435803,-0.0898775964893146,0.0265530791642788
"K18119",0.149535017862313,0.19459276868908,0.100128229689288,0.165552633308669,0.287159578654043,-0.018197843827762,0.0148329385882883,-0.00835343779418069,-0.0048506902596172,-0.00563034293897389,-0.00791511978377489,-0.172404625179422,-0.206103679862273,0.172244618368547,0.114792460625493,0.121673835066361,0.104443919285023,0.031987307604809,-0.0403248645236913,-0.0230388230521561,-0.0356704197271963,0.103567639055023,0.0303312607332615,0.0478639558185774,-0.0651292056665114
"K14534",0.147368578927634,0.119575846670317,0.178324709411324,0.246362204724409,0.191229096362955,-0.361185232671899,-0.267590952517665,-0.302542812683947,-0.294720580769268,0.14646269216348,0.0639070116235471,-0.271029072079767,-0.0747626826146286,0.230256398777403,0.198926289505573,0.0889982232189485,0.153151856017998,0.0948314263046076,0.0193413676865212,-0.0277953177631231,-0.0782147374911695,0.0683975529022935,-0.0732491623514935,-0.0717352927857109,-0.0260731319584175
"K01039",0.107698699210769,0.0497376034745548,0.0478200942184178,0.0500698163777337,0.0398710759221685,-0.1519264924473,-0.102782460539814,-0.114485234902619,-0.0582056846885147,0.0294413639915802,-0.0576978743125873,-0.0622125472140025,-0.0214032235487213,0.0690785230843988,0.027198353826448,0.107860932299933,0.114828818641027,-0.0237813840494666,-0.0994790403303706,-0.0537428944446152,-0.0124853383067895,-0.0131443963836412,-0.0548597123078185,-0.00623492638957762,-0.0597355187016637
"K01040",0.0758035245594301,0.0113117557081445,-0.0541462317210349,-0.0848323959505062,-0.100298462692163,-0.299199796693266,-0.19107640206456,-0.21334189238152,-0.252248252720575,0.0591196100487439,0.0914195725534308,-0.103663393647674,0.0523665750673503,0.139890661242629,0.0664237644921109,0.00531601333324266,0.125297337832771,0.174319563384566,0.0106172018369161,-0.058899316239901,-0.053235098819403,0.054512267734996,0.0508265615661454,0.0414171275191231,-0.118025017261378
"K01615",0.0923254593175853,0.0336922938514663,-0.0574398200224972,-0.0851383577052868,-0.109351331083615,-0.202545354103536,-0.203092918024852,-0.227320312821016,-0.23438821732246,0.0791151106111736,0.0254638170228721,-0.150250645486901,0.00631146668624077,0.1317554950951,0.0881710147880917,0.0338100848000253,0.0434675665541807,0.127449789360099,-0.0113702161519955,-0.0112849110106701,0.0631675575250856,0.0516476215188005,0.0263971755064967,0.0490004184851797,-0.0736688964296796
"K20903",0.0972808398950131,-0.0329873713928575,-0.00850993625796775,-0.0363704536932883,-0.0543562054743157,-0.213302735578607,-0.14797772475116,-0.176521053133704,-0.213498515187345,-0.00754405699287589,0.0624911886014248,-0.1327421289833,0.00799732423266059,0.19715179199122,0.0554256379111941,0.0171750430772089,0.143475065616798,0.080325043764939,0.0431078194955208,-0.0466934940967812,-0.075682875471358,0.0898838993385328,0.0667968527475759,0.0777107340849137,-0.0572816990195513
"K20904",0.0920734908136483,0.0168761436260995,0.0235080614923135,-0.0242039745031871,-0.017970753655793,-0.175912885409817,-0.15481688011548,-0.153435661781265,-0.177619461879173,0.116028496437945,0.116760404949381,-0.131597722603497,0.0234040223793015,0.184661072286828,0.0475835476540974,0.0221190554774256,0.063931008623922,0.140909288627157,0.0230554382923709,-0.0350276198489088,-0.0255076098986467,0.107002785156154,0.0875126361621062,0.0913354601797828,-0.0580886102594057
"K18011",0.0634990626171728,-0.106557278711328,0.145952755905512,0.176584926884139,0.174551181102362,-0.115790342319086,-0.0629292282403831,-0.0563816288799956,-0.116453190162182,0.0954330708661417,0.16750206224222,-0.219398622572063,0.0144077825541894,-0.0118097894995653,0.198089279872164,0.0433711087802986,0.0343127109111361,0.0963162607457027,0.0411817828808556,0.0684143980383714,0.0499352786514021,0.0762625815712617,0.106233633018475,0.0767118274821855,0.0205087440404625
"K01844",0.0548661417322835,-0.0475207727203463,0.136251968503937,0.200113985751781,0.192350956130484,-0.105863913066156,-0.0505767537709662,-0.0554637326022089,-0.103278639361288,0.0878260217472816,0.128896887889014,-0.194663224835375,0.0267637384860457,0.0153584257652463,0.241742782294128,0.0204390512637597,0.135148106486689,0.134322023106662,0.0353196714399587,0.05603759239509,0.00882851886766049,0.0769854922917886,0.0737051135647875,0.0526900735042658,0.0122146563891712
"K18014",0.0279595050618673,-0.191630920620288,0.186045744281965,0.176110986126734,0.141687289088864,-0.0682640749711943,0.00463142801864491,0.0264210144272718,-0.0312325644214269,0.0844184476940383,0.0905796775403075,-0.115536985299542,0.123220587961365,-0.148586769893693,0.207005382490409,-0.0124590312488469,0.0265316835395576,0.167177359739621,-0.0157923002174418,0.0609961138997783,0.0924909594725478,-0.0439685698816691,-0.00740620753699322,-0.0438319017389315,0.0670426253187564
