"","trimethylamine N-oxide","% CD19+ CD3- CD27+ IgG- d0","1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*","1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*","% CD4+ RO+ CCR6+ d0","CD4+ CCR6+ as % of RO+","% CD4+ M total CCR6+ d0","% CD4+ M CCR6+ CXCR3+ d0","hexanoylglutamine","stearoylcarnitine (C18)","% CD8+ MAIT INFg+ TNFa- d6","% CD8+ MAIT INFg+ GzA- d1","% CD8+ MAIT INFg- GzA+ d1","% CD8+ MAIT total TNFa+ d6","% CD8+ MAIT total Granzyme+ d1","hippurate","NK % CD56lo CD16-","CD3+ gdTCR+ CD3hi","Total gd Cells (gdTCR CD3hi + CD3lo)","CD3+ gdTCR+ CD3lo","% CD4+ RO+ CCR6+ total IL-17+  d6","% CD4+ RO+ IL-17+ INFg- d6","% CD4+ IL-17+ IL-22- d6","% CD4+ RO+ INFg- GMCSF+ d1"
"K00209",0.0426903226162241,0.0234876681056121,-0.034195358565251,0.0197358452869989,0.100465810527548,-0.102694273729951,-0.0289954951363411,-0.0295900186781313,-0.112429510094441,0.125985461125847,0.120361544663297,-0.021714308964355,0.0618210079196195,0.12601479942767,-0.00853070009630665,-0.0553918974435546,0.103399423317655,0.135187899371196,-0.0410951445322088,0.0183250023888433,0.0261991233839602,-0.041908403120812,-0.0385859531688978,-0.0883230499221327,-0.0273309926823748
"K19709",0.0119731315601049,0.211958665305415,-0.0952045585949689,-0.149500324140882,-0.14394111582282,0.0576117671767226,0.064790952549967,0.103910727467638,0.169792350647357,0.0779713689401956,0.0460014694711111,0.0305681436716708,-0.196293385398102,0.0901699590660835,0.0230621392583252,0.179998007594904,-0.0651435224561093,0.0894596239769837,0.0273925252211174,-0.00785996610382229,-0.0343973628431358,0.0464111815335929,0.0164909137550003,0.0273567895143111,-0.220803025019575
"K00929",-0.0326758802694632,0.080993044386405,-0.018417945690673,-0.0556149732620321,0.00407667199111049,-0.026909146490259,0.0858948538092923,0.0737763409431197,0.0828936197172245,-0.0817070629904854,-0.0172720327800542,-0.0840767502608158,-0.0362161439937114,-0.132295517178707,0.0469114110885274,0.0655068171840963,-0.265303146051809,-0.0246027446755405,0.206102364412103,0.0947306098455781,-0.053142520898039,0.0795891367083648,0.144029613647911,0.15385069488779,0.181241112547325
"K00626",0.0326758802694632,-0.0418942712120049,0.053170359052712,0.0810542398777693,0.0722480727828321,-0.0625727075245809,-0.248913118966595,-0.224235489805232,-0.283528057587531,0.111278561011181,0.0298006806028196,0.0918412132746824,0.135550960269492,0.114867011726454,-0.0499362733226189,-0.170876175330925,0.277047017153969,0.117742450771144,-0.164165110374215,-0.0350586597141113,0.0948599033425363,-0.137312095674471,-0.201492835352606,-0.205772048910186,-0.0427779446567643
"K00074",0.0348218626293493,-0.091355486801576,0.0907979720813945,0.106618515174665,0.093673171748038,-0.0922599308237452,-0.268872838391555,-0.2593040799956,-0.308898623783084,0.122834919091604,0.087332453642614,0.0664710390989974,0.171048268151716,0.104255034706712,-0.0642166791855168,-0.218261129930639,0.313327314396833,0.0989769980927216,-0.157299430411239,-0.0482126021662759,0.0506664954520283,-0.163095225694523,-0.206541875983415,-0.230274260920755,-0.0349335273355832
"K18122",0.158014719798002,0.0774580024712099,0.165404134669557,0.123894235527368,0.0725086334271414,-0.183113778191201,-0.166237527324244,-0.169018119440698,-0.160248775112102,-0.0345510704755547,0.0739080385931363,-0.0989361979169341,-0.0896133211692293,-0.0273876989764007,0.00568508389727626,0.107758936091998,0.0524551226737416,0.205527900826186,0.18350011445316,0.135345552049403,0.0419414435412964,-0.139590281913617,-0.152356975446593,-0.132939315620994,0.0015938883585182
"K18120",0.0768595041322314,0.0536770349903813,0.0309465935134384,0.0128064448920064,-0.0322591846656018,-0.162045220263446,-0.12614070421557,-0.10413971876514,-0.0646973745947639,-0.0282380720883395,0.0104173900965345,-0.0840906650690844,-0.0130536470680181,0.0277626820264518,0.0152701713470725,0.00728972586520083,-0.051350788249184,0.192147956792711,0.234270057977961,0.0885772872412393,-0.0550663891969029,-0.0374749547712335,-0.0685613880431167,-0.0117545333979273,0.00921606178415882
"K18119",0.130060979832672,0.0524261679823367,0.0329016858904483,0.0128137518178787,-0.00258093581921247,-0.0974847603248399,-0.128822969968171,-0.127407266377637,-0.231234893636641,-0.0146392917875656,0.0936620909351602,-0.107161131067729,-0.12462910447967,-0.0305239588245507,0.0761638208924885,0.171512969037,0.162305191557792,0.12213801430957,0.10591536156213,0.176458245052905,0.149252726714979,-0.059529596300927,-0.0750126794621679,-0.0867149552659799,0.117409934025078
"K14534",0.294673241197305,0.0238398683579587,0.263129383984999,0.239141607056046,0.114820473644003,-0.125843406847399,-0.202291825821238,-0.237319799918838,-0.161929218760584,0.211507743593305,0.0202236266407389,0.121904156538945,-0.0465923869943068,-0.149498309768956,-0.0986118979759207,0.034583654199938,0.286707410236822,0.200374336769614,0.0311577544905538,-0.0135046679504932,-0.0295525617749665,-0.28599307588573,-0.346293347913886,-0.291297131054219,-0.177178266922809
"K01039",0.25560108340857,-0.180773224652862,0.0867976942843253,0.0746510174317661,0.010570178484617,-0.241130121820958,-0.215521911243836,-0.176290938388417,-0.191050156088247,0.299840266685186,-0.000555594138481839,0.0819756142122605,-0.0196863860677294,-0.0625710778529874,0.0410110196583077,-0.0179134854753244,0.150857698451281,0.149245075992951,-0.000361168799266339,-0.0396562890189334,-0.0612165169176391,-0.26559228277222,-0.289340586300477,-0.204143429659484,0.0091431389139752
