"","% viable CD3+ of total CD3+","% viable CD3+ d6","% CD4+ RO+ CCR6+ IL-22+ IL-17- d1","% CD4+ RO+ IL-22+ IL-17- d1","2-hydroxyglutarate","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*","% CD8+ RO+ CCR6- INFg+ TNFa+ d1","% CD8+ RO+ CCR6- total INFg+ d1","% CD8+ MAIT total Granzyme+ d1","N-formylanthranilic acid","Total gd Cells (gdTCR CD3hi + CD3lo)"
"K01667",0.0021326042378674,0.0206296909137646,0.013766704269977,-0.0950603616455634,-0.031742993848257,0.0827614490772385,0.0024606971975393,0.0549312335056988,0.0255092276144908,-0.094024174099974,-0.131756664388243,-0.0249500998377054
"K00180",0.230075187969925,0.197451707002983,0.0818893332444508,0.0638338599918216,0.130827067669173,0.0336295283663705,0.173615857826384,-0.0954119160369019,-0.0745864661654135,-0.182741965719833,-0.110758714969241,0.0362835972434357
"K00179",0.218646616541353,0.157436395336589,0.107303735665391,0.0920252113096919,0.229227614490772,0.155734791524265,0.123308270676692,-0.0130013944907714,-0.0335748462064252,-0.0636218847873569,-0.106110731373889,-0.0415060290998759
"K01609",0.362898154477102,0.207664019204827,0.30833589682727,0.287901782760287,0.250088858509911,0.178974709501025,0.00401913875598086,-0.165531950046541,-0.142474367737526,-0.151177195709253,-0.034149008885851,-0.153255133797632
"K01817",0.293096377306904,0.135357567751612,0.31663419820947,0.293643959071395,0.223294600136705,0.191196172248804,-0.0558578263841422,-0.0586088098653387,-0.0486124401913876,-0.254323424227362,-0.18272043745728,-0.211467476323083
"K01658",0.246452494873548,0.113128358059246,0.250411839238499,0.228319867608357,0.210909090909091,0.160710868079289,-0.151278195488722,-0.0441856014660076,-0.0244155844155844,-0.243902126676209,-0.219712918660287,-0.108262926364268
"K01695",0.3311004784689,0.222688558843149,0.252530845357512,0.201687107003502,0.140341763499658,0.132658920027341,0.0514832535885167,-0.111762775985338,-0.0902802460697197,-0.129924313301782,-0.20781954887218,-0.0337544090407094
"K13497",0.232590567327409,0.234035572400753,0.149000307684686,0.0699725199053637,-0.132139439507861,-0.0275324675324675,-0.176131237183869,0.167459601595646,0.133861927546138,-0.0993989377976161,0.159152426520848,-0.214898969506242
"K01657",0.288721804511278,0.156875880209045,0.255155678743644,0.28457952360886,0.136049213943951,0.24390977443609,0.107751196172249,0.0285866623345984,0.0669583048530417,-0.103064171057077,-0.188926862611073,-0.238536625736046
"K06001",0.0442105263157895,-0.00365018387937385,0.108233364156313,0.128009516192638,0.0176623376623377,0.195734791524265,0.15835953520164,-0.00925546169322003,-0.0596035543403964,-0.0587257896124056,-0.0891592617908407,-0.0983922567298443
"K01867",-0.137607655502392,-0.0428999139081466,-0.110885539556885,-0.0860779572731867,0.0137252221462748,-0.151032125768968,-0.0126862611073137,0.0533316928585692,0.0174436090225564,0.140154143443859,-0.097470950102529,-0.172955459203732
