"","% viable CD3+ of total CD3+","% viable CD3+ d6","% CD4+ RO+ CCR6+ IL-22+ IL-17- d1","% CD4+ RO+ IL-22+ IL-17- d1","2-hydroxyglutarate","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*","% CD8+ RO+ CCR6- INFg+ TNFa+ d1","% CD8+ RO+ CCR6- total INFg+ d1","% CD8+ MAIT total Granzyme+ d1","N-formylanthranilic acid","Total gd Cells (gdTCR CD3hi + CD3lo)"
"K01667",0.20760704911886,0.177453537704557,-0.0973898488676727,-0.110542332709783,0.137547806524184,0.0208503937007874,0.0811608548931384,-0.215860788529686,-0.228472440944882,0.057492144197665,0.132418447694038,-0.100004349620872
"K00180",0.00221072365954256,-0.0423355496927515,-0.0952570930680942,-0.133244141994406,0.0734638170228721,-0.00010498687664042,0.183070116235471,-0.266370293216496,-0.267893513310836,-0.109836275483454,-0.0705961754780652,-0.120552366745564
"K00179",0.0535763029621297,0.0156137274959804,-0.040909315885586,-0.102497109070597,0.0609013873265842,-0.040617922759655,0.139623547056618,-0.204011843078154,-0.221615298087739,-0.0731041833546598,-0.108031496062992,-0.0923580874820633
"K01609",-0.0579437570303712,-0.0938713495738165,0.0458017557014967,0.0582933747130123,-0.134746156730409,-0.0212763404574428,0.16647619047619,-0.184204605909428,-0.157963254593176,-0.196977494044797,-0.159991001124859,-0.0820270844196635
"K01817",-0.11110911136108,-0.140544545752483,0.0370037630711679,0.025425546445093,-0.0969268841394826,-0.0256557930258718,0.208350956130484,-0.201075104445989,-0.168581927259093,-0.252711633833161,-0.169385826771654,-0.150909437300583
"K01658",-0.0604334458192726,-0.0213132629892297,0.0928993630280538,0.0890164099525879,-0.0893798275215598,-0.0240479940007499,0.242234720659917,-0.233817190421553,-0.195692538432696,-0.156675392961963,-0.140415448068991,0.000479953684664332
"K01695",-0.03170303712036,-0.0234580881880052,-0.0456637715006801,-0.0393532024319461,-0.0362504686914136,0.0163509561304837,0.206461192350956,-0.112076025306367,-0.101600299962505,-0.0527161322188149,-0.0325429321334833,-0.0272043747888802
"K13497",-0.0762966073817704,-0.038811419056394,0.0276512487010342,0.0430854885366101,0.0387797342335965,0.0534151243423309,-0.0765035846142981,0.0889089207594668,0.0921198668250116,-0.0527199229322754,0.0321054684020872,-0.0689073840544782
"K01657",-0.110023247094113,-0.142374396621368,0.00215075373881545,0.00167983789632516,0.0944491938507687,-0.00484439445069366,0.303445069366329,-0.173486559808586,-0.18226621672291,-0.12363031008066,-0.14814848143982,-0.104473918309309
"K06001",0.00335058117735283,-0.0284166840671321,-0.0530219289920529,-0.0724370098579643,0.142473190851144,-0.110101237345332,0.126959130108736,-0.144506139047256,-0.155179602549681,-0.0774751943177154,-0.0333168353955756,-0.108553524628955
"K01867",0.0438695163104612,0.0437514342994956,0.143959516643279,0.140902402975331,-0.0165009373828271,-0.140055493063367,0.00105886764154481,0.0175994336618075,-0.0055403074615673,0.0347520871626879,0.138873640794901,-0.0559386019476279
