"","Annotation","Color"
"K01667","Indole<=>Tryptophan","#E64B35FF"
"K00180","Indole<=>Tryptophan","#E64B35FF"
"K00179","Indole<=>Tryptophan","#E64B35FF"
"K01609","Chorismate=>Tryptophan","#4DBBD5FF"
"K01817","Chorismate=>Tryptophan","#4DBBD5FF"
"K01658","Chorismate=>Tryptophan","#4DBBD5FF"
"K01695","Chorismate=>Tryptophan","#4DBBD5FF"
"K13497","Chorismate=>Tryptophan","#4DBBD5FF"
"K01657","Chorismate=>Tryptophan","#4DBBD5FF"
"K06001","Chorismate=>Tryptophan","#4DBBD5FF"
"K01867","Tryptophan<=>tRNA(Trp)","#00A087FF"
