"","Annotation","Color"
"% viable CD3+ of total CD3+","T Cell","#FED439FF"
"% viable CD3+ d6","T Cell","#FED439FF"
"% CD4+ RO+ CCR6+ IL-22+ IL-17- d1","IL22+ CD4 Memory","#709AE1FF"
"% CD4+ RO+ IL-22+ IL-17- d1","IL22+ CD4 Memory","#709AE1FF"
"2-hydroxyglutarate","Dicarboxylate","#8A9197FF"
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","Dicarboxylate","#8A9197FF"
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*","GPE","#D2AF81FF"
"% CD8+ RO+ CCR6- INFg+ TNFa+ d1","INFg+ CD8 Memory","#FD7446FF"
"% CD8+ RO+ CCR6- total INFg+ d1","INFg+ CD8 Memory","#FD7446FF"
"% CD8+ MAIT total Granzyme+ d1","GzA+ CD8 MAIT","#D5E4A2FF"
"N-formylanthranilic acid","Tryptophan","#197EC0FF"
"Total gd Cells (gdTCR CD3hi + CD3lo)","GammaDelta T","#F05C3BFF"
