modalities,n_subjects,n_features,selected_k,mean_cv_auc,std_cv_auc
locked_metab10 + quest + immune_residue + species,235,476,50,0.8657200811359026,0.05244286160982911
locked_metab10 + quest + immune_percentage + species,235,476,50,0.8646157313500114,0.04474287685988219
locked_metab10 + quest + immune_percentage + immune_residue,235,669,50,0.8556231688077529,0.04953858928066333
locked_metab10 + quest + immune_residue,235,358,50,0.8538517016001803,0.03572031029527425
locked_metab10 + quest + immune_percentage,235,358,50,0.852530989407257,0.051323686078324444
locked_metab10,214,10,10,0.8490432098765431,0.06580681198464013
locked_metab10 + quest + species,235,165,50,0.8436240703177823,0.0347337248969455
locked_metab10 + metadata + quest + immune_residue,249,361,50,0.8326013016411998,0.07090961717158974
locked_metab10 + immune_residue + species,234,439,50,0.8267928780707686,0.06475202142668217
locked_metab10 + quest,235,47,47,0.8217308992562542,0.0513147918689381
locked_metab10 + metadata + immune_residue,249,324,50,0.8212150537634407,0.04727700929428693
locked_metab10 + metadata + immune_percentage + species,249,442,50,0.820985285795133,0.04769363264341034
locked_metab10 + immune_percentage,234,321,50,0.8209691232814965,0.059942425851154606
locked_metab10 + metadata,249,13,13,0.817189586870402,0.04081326873964802
locked_metab10 + metadata + quest + species,249,168,50,0.8167382569326541,0.06523947059524583
locked_metab10 + immune_residue,234,321,50,0.816042370971377,0.058923911009967925
locked_metab10 + immune_percentage + species,234,439,50,0.8146179851250845,0.047573794677569864
locked_metab10 + immune_percentage + immune_residue,234,632,50,0.8130313274735181,0.06832867152012828
locked_metab10 + metadata + immune_residue + species,249,442,50,0.8111279003961517,0.06341020387558703
locked_metab10 + metadata + quest + immune_percentage,249,361,50,0.8027920203735144,0.06757981215735112
locked_metab10 + metadata + immune_percentage,249,324,50,0.8014340690435766,0.05803612941848901
locked_metab10 + immune_percentage + immune_residue + species,234,750,50,0.798589136804147,0.04701677442849356
locked_metab10 + metadata + quest,249,50,50,0.7936106395019807,0.07169660976049669
locked_metab10 + metadata + immune_percentage + immune_residue,249,635,50,0.7919247311827957,0.06165792484831772
locked_metab10 + metadata + species,249,131,50,0.7864501980758348,0.05864853721930628
quest + immune_residue,234,348,50,0.7805634437683119,0.05105195777055706
locked_metab10 + species,233,128,50,0.7760874464728421,0.04931886098035962
quest + immune_percentage,234,348,50,0.7588100067613253,0.041390942412029674
quest + kegg + species,235,4584,50,0.7548659003831418,0.052856486337227705
quest + kegg,235,4466,50,0.7517376605814741,0.04991015426587379
quest + immune_residue + kegg + species,235,4895,50,0.7517376605814741,0.049910154265873814
quest + immune_percentage + immune_residue + kegg,235,5088,50,0.747333784088348,0.04817733700528605
quest + immune_percentage + kegg + species,235,4895,50,0.746995717827361,0.04664660739283198
quest + immune_residue + kegg,235,4777,50,0.7458553076402976,0.04565859859476695
quest + immune_percentage + kegg,235,4777,50,0.7431011945007888,0.04481791988033099
quest + immune_percentage + immune_residue,234,659,50,0.7228713094433176,0.04848829204678472
quest + immune_percentage + immune_residue + species,235,777,50,0.7208654496281272,0.06832660337094043
locked_metab10 + quest + kegg,235,4476,50,0.7130448501239577,0.05597498095462919
quest,232,37,37,0.7080234392607617,0.10339547789609088
metadata + quest + kegg + species,249,4587,50,0.7074886813808716,0.05050740612869589
metadata + quest,249,40,40,0.706022637238257,0.05004410764549815
quest + immune_percentage + species,235,466,50,0.7041244083840432,0.060248657856011176
locked_metab10 + quest + kegg + species,235,4594,50,0.7037232364210052,0.049307525081614505
locked_metab10 + quest + immune_residue + kegg,235,4787,50,0.70245661482984,0.057962189298107515
quest + immune_residue + species,235,466,50,0.7011674554879422,0.07023645690448999
quest + species,235,155,50,0.6977687626774849,0.04230426226683813
metadata + quest + immune_residue + species,249,469,50,0.6950792303338993,0.05979920129358967
immune_residue + species,234,429,50,0.693639846743295,0.067487882265685
locked_metab10 + quest + immune_percentage + kegg,235,4787,50,0.6935902636916835,0.06767813219494985
locked_metab10 + metadata + quest + kegg,249,4479,50,0.6910998868138087,0.10634070262305124
metadata + quest + immune_percentage + species,249,469,50,0.6904295415959253,0.04176864411616141
metadata + quest + species,249,158,50,0.6882093944538766,0.03249363160080444
metadata + quest + kegg,249,4469,50,0.684127051499717,0.07460839646079881
metadata + quest + immune_residue,249,351,50,0.6799173740803622,0.04192893805162783
metadata + quest + immune_residue + kegg,249,4780,50,0.6749589700056593,0.06599621391851393
immune_percentage + immune_residue + species,234,740,50,0.6721388325445121,0.06240790414342905
immune_percentage + species,234,429,50,0.6700022537750733,0.06986697637896465
metadata + quest + immune_percentage + kegg,249,4780,50,0.6668095642331636,0.07087878566210018
immune_residue,229,311,50,0.6617687304806981,0.04579552297480143
metadata + immune_percentage + immune_residue + species,249,743,50,0.6604006791171477,0.06252526284292093
immune_percentage,229,311,50,0.6577336681799157,0.04324500851480826
immune_percentage + immune_residue,229,622,50,0.6575509514150488,0.044123731779049706
locked_metab10 + immune_percentage + immune_residue + kegg,234,5061,50,0.6573495605138607,0.0679973248963329
locked_metab10 + immune_residue + kegg,234,4750,50,0.6560558936218166,0.07129823254090488
locked_metab10 + immune_percentage + kegg,234,4750,50,0.6556727518593645,0.07123500766635302
metadata + quest + immune_percentage,249,351,50,0.6552574985851727,0.04774349451903986
metadata + quest + immune_percentage + immune_residue,249,662,50,0.6508505942275044,0.07231732741197368
locked_metab10 + immune_residue + kegg + species,234,4868,50,0.6498444895199459,0.06761614387926565
species,228,118,50,0.6482951801410219,0.08566915867259609
locked_metab10 + immune_percentage + kegg + species,234,4868,50,0.6463781834572909,0.06697120659125239
locked_metab10 + kegg + species,233,4557,50,0.6463376155059725,0.10056317101165795
locked_metab10 + kegg,233,4439,50,0.6398016677935541,0.10078950667896353
metadata + species,249,121,50,0.638546689303905,0.04424788492479483
locked_metab10 + metadata + kegg + species,249,4560,50,0.6352880588568194,0.12886383738250703
metadata + immune_percentage + kegg + species,249,4861,50,0.628066779852858,0.07612054144031052
locked_metab10 + metadata + kegg,249,4442,50,0.6258709677419356,0.11852912153470337
metadata + immune_residue + kegg + species,249,4861,50,0.6248409734012451,0.07473483253052855
locked_metab10 + metadata + immune_percentage + kegg,249,4753,50,0.6225376344086021,0.1153712037683448
locked_metab10 + metadata + immune_residue + kegg,249,4753,50,0.6212043010752689,0.1141925932392868
kegg + species,228,4547,50,0.6211935348852184,0.0412216947760694
kegg,228,4429,50,0.6189453942496538,0.04806151763581137
metadata + kegg + species,249,4550,50,0.6172009054895303,0.059918816947992184
metadata + immune_percentage + species,249,432,50,0.6159337860780985,0.07368176355149213
metadata + immune_residue + species,249,432,50,0.6120169779286927,0.04985779080838282
metadata + immune_residue,249,314,50,0.6077730616864743,0.10351693552551479
metadata + immune_residue + kegg,249,4743,50,0.6075350877192982,0.08053437021009602
immune_percentage + immune_residue + kegg + species,234,5169,50,0.6030065359477125,0.0899518496661577
metadata + immune_percentage + kegg,249,4743,50,0.6027812676853423,0.08902181746332866
immune_residue + kegg + species,234,4858,50,0.6021320712192924,0.08665119550588253
immune_residue + kegg,234,4740,50,0.6012666215911653,0.0902892926261032
metadata + immune_percentage + immune_residue + kegg,249,5054,50,0.6007439162422185,0.09000480687024517
immune_percentage + immune_residue + kegg,234,5051,50,0.6001262114041019,0.09421981304396401
immune_percentage + kegg + species,234,4858,50,0.5986928104575164,0.0883921963944232
immune_percentage + kegg,234,4740,50,0.5970250169033131,0.09160094419121351
metadata + kegg,249,4432,50,0.5939527447651387,0.07063850017112676
metadata + immune_percentage + immune_residue,249,625,50,0.5695506508205999,0.07689098465118398
metadata + immune_percentage,249,314,50,0.5689400113186192,0.06678538090171296
metadata,249,3,3,0.5603853989813243,0.043365231259479796
