feature,count,frequency
quest__Vitamin B12,297,0.594
kegg__K02121,285,0.57
metab__3-(4-hydroxyphenyl)lactate,239,0.478
metab__1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),235,0.47
metab__N4-acetylcytidine,232,0.464
species__GGB1266_SGB1699,219,0.438
metab__N-palmitoyl-sphingosine (d18:1/16:0),218,0.436
metab__N-acetylglutamate,211,0.422
metab__1-methylurate,186,0.372
metab__N-acetylglucosamine/N-acetylgalactosamine,169,0.338
immune_res__% CD8+ M CCR6+ CXCR3- d0,156,0.312
metab__1-stearoyl-2-oleoyl-GPC (18:0/18:1),155,0.31
"metab__sphingomyelin (d18:1/24:1, d18:2/24:0)*",152,0.304
metab__vanillylmandelate (VMA),148,0.296
species__Dysosmobacter_welbionis,144,0.288
kegg__K08223,132,0.264
immune_res__% CD4+ RO+ CD161+ total IL-17+ d6,131,0.262
metab__catechol sulfate,129,0.258
kegg__K21417,127,0.254
kegg__K03650,121,0.242
metab__tiglylcarnitine (C5:1-DC),121,0.242
immune_res__% DN RO+ CCR6+ d1,120,0.24
kegg__K07230,119,0.238
kegg__K09740,114,0.228
kegg__K19124,113,0.226
immune_res__% CD4+ CD161+ Va7.2- d6,113,0.226
"metab__branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",111,0.222
metab__glycochenodeoxycholate glucuronide (1),111,0.222
kegg__K01546,103,0.206
kegg__K05524,94,0.188
immune_res__% CD8+ MAIT INFg+ GzA+ d1,84,0.168
kegg__K19286,83,0.166
metab__4-vinylguaiacol sulfate,82,0.164
immune_res__% CD8+ RO+ CCR6+ d1,82,0.164
metab__ethylparaben sulfate,81,0.162
kegg__K03495,80,0.16
immune_res__% CD4+ RO+ CD161+ IL-17+ INFg+ d6,79,0.158
metab__N-palmitoyl-sphinganine (d18:0/16:0),78,0.156
metab__X-25172,74,0.148
metab__glycodeoxycholate 3-sulfate,73,0.146
kegg__K03410,72,0.144
immune_res__% CD4+ RO+ CCR6+ CD161+ total IL-17+ d6,72,0.144
metab__4-methylguaiacol sulfate,72,0.144
species__Phocaeicola_plebeius,71,0.142
immune_res__% CD8+ INFg+ TNFa- d1 P8,71,0.142
kegg__K19123,68,0.136
immune_res__% CD4+ RO+ CCR6+ CD161- d6,67,0.134
metab__S-methylcysteine sulfoxide,66,0.132
kegg__K03709,60,0.12
metab__glutarylcarnitine (C5-DC),59,0.118
immune_res__% CD4+ RO+ CCR6+ CD161+ IL-17+ INFg+ d6,59,0.118
species__Barnesiella_intestinihominis,59,0.118
kegg__K03686,58,0.116
quest__Non HDL Cholesterol,58,0.116
kegg__K02346,58,0.116
quest__Potassium,56,0.112
kegg__K19428,55,0.11
species__Clostridiaceae_bacterium,55,0.11
metab__trigonelline (N'-methylnicotinate),53,0.106
metab__imidazole lactate,53,0.106
immune_res__% CD4+ RO- CCR7- d0,53,0.106
metab__N-acetylneuraminate,52,0.104
kegg__K01547,52,0.104
metab__3-hydroxyadipate,50,0.1
kegg__K00648,50,0.1
kegg__K19125,49,0.098
immune_res__NK Cells (% CD3- 2B4+),49,0.098
kegg__K01182,49,0.098
kegg__K03101,47,0.094
kegg__K07794,46,0.092
kegg__K19126,45,0.09
kegg__K01814,45,0.09
kegg__K02068,44,0.088
kegg__K12942,43,0.086
immune_res__CD8+ MAIT % RO- CD27+ d0,42,0.084
kegg__K08659,42,0.084
kegg__K07445,42,0.084
species__Ruminococcaceae_unclassified_SGB4191,42,0.084
kegg__K07755,42,0.084
metab__2-naphthol sulfate,41,0.082
metab__lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,41,0.082
immune_res__% CD4+ RO+ CCR6+ total IL-17+ d1,40,0.08
species__Odoribacter_splanchnicus,39,0.078
kegg__K03925,39,0.078
kegg__K01787,38,0.076
metab__4-methylcatechol sulfate,38,0.076
kegg__K01654,38,0.076
