comparison,variable,p_value,table,fdr_q
canonical_ME_CFS vs canonical_control,metadata__study_ptorhc,1.7047154028421837e-48,"{'Control': {'canonical_ME_CFS': 0, 'canonical_control': 58}, 'MECFS': {'canonical_ME_CFS': 121, 'canonical_control': 0}}",1.7047154028421836e-47
canonical_ME_CFS vs canonical_control,metadata__illness_duration,1.3509642905558603e-39,"{'Control': {'canonical_ME_CFS': 0, 'canonical_control': 58}, 'Long': {'canonical_ME_CFS': 70, 'canonical_control': 0}, 'Short': {'canonical_ME_CFS': 51, 'canonical_control': 0}}",6.754821452779301e-39
canonical_ME_CFS vs canonical_control,metadata__gender,0.0002269533154933996,"{'Female': {'canonical_ME_CFS': 95, 'canonical_control': 29}, 'Male': {'canonical_ME_CFS': 26, 'canonical_control': 29}}",0.0006401315030140571
canonical_ME_CFS vs canonical_control,metadata__antivirals,0.0002560526012056229,"{'No': {'canonical_ME_CFS': 100, 'canonical_control': 58}, 'Yes': {'canonical_ME_CFS': 21, 'canonical_control': 0}}",0.0006401315030140571
canonical_ME_CFS vs canonical_control,metadata__probiotics,0.03169825521843768,"{'No': {'canonical_ME_CFS': 111, 'canonical_control': 58}, 'Yes': {'canonical_ME_CFS': 10, 'canonical_control': 0}}",0.06339651043687536
canonical_ME_CFS vs canonical_control,metadata__ethnic,0.30440499671268895,"{'Hispanic or Latino': {'canonical_ME_CFS': 4, 'canonical_control': 0}, 'Not Hispanic': {'canonical_ME_CFS': 111, 'canonical_control': 56}}",0.507341661187815
canonical_ME_CFS vs canonical_control,metadata__antifungals,0.5520087155519193,"{'No': {'canonical_ME_CFS': 118, 'canonical_control': 58}, 'Yes': {'canonical_ME_CFS': 3, 'canonical_control': 0}}",0.6880634599181756
canonical_ME_CFS vs canonical_control,metadata__antibiotics,0.5520087155519193,"{'No': {'canonical_ME_CFS': 118, 'canonical_control': 58}, 'Yes': {'canonical_ME_CFS': 3, 'canonical_control': 0}}",0.6880634599181756
canonical_ME_CFS vs canonical_control,metadata__age_group,0.6192571139263581,"{'<50': {'canonical_ME_CFS': 76, 'canonical_control': 39}, '>50': {'canonical_ME_CFS': 45, 'canonical_control': 19}}",0.6880634599181756
canonical_ME_CFS vs canonical_control,metadata__race,0.7151740843943478,"{'Not_White': {'canonical_ME_CFS': 5, 'canonical_control': 3}, 'White': {'canonical_ME_CFS': 116, 'canonical_control': 55}}",0.7151740843943478
canonical_ME_CFS vs control_like_ME_CFS,metadata__gender,0.00727832592352183,"{'Female': {'canonical_ME_CFS': 95, 'control_like_ME_CFS': 6}, 'Male': {'canonical_ME_CFS': 26, 'control_like_ME_CFS': 8}}",0.06550493331169648
canonical_ME_CFS vs control_like_ME_CFS,metadata__probiotics,0.13568827646613543,"{'No': {'canonical_ME_CFS': 111, 'control_like_ME_CFS': 11}, 'Yes': {'canonical_ME_CFS': 10, 'control_like_ME_CFS': 3}}",0.6105972440976095
canonical_ME_CFS vs control_like_ME_CFS,metadata__antifungals,0.35800529516161883,"{'No': {'canonical_ME_CFS': 118, 'control_like_ME_CFS': 13}, 'Yes': {'canonical_ME_CFS': 3, 'control_like_ME_CFS': 1}}",0.7100884214100968
canonical_ME_CFS vs control_like_ME_CFS,metadata__age_group,0.39263105290968203,"{'<50': {'canonical_ME_CFS': 76, 'control_like_ME_CFS': 7}, '>50': {'canonical_ME_CFS': 45, 'control_like_ME_CFS': 7}}",0.7100884214100968
canonical_ME_CFS vs control_like_ME_CFS,metadata__illness_duration,0.39449356745005376,"{'Long': {'canonical_ME_CFS': 70, 'control_like_ME_CFS': 6}, 'Short': {'canonical_ME_CFS': 51, 'control_like_ME_CFS': 8}}",0.7100884214100968
canonical_ME_CFS vs control_like_ME_CFS,metadata__race,0.48836452530437413,"{'Not_White': {'canonical_ME_CFS': 5, 'control_like_ME_CFS': 1}, 'White': {'canonical_ME_CFS': 116, 'control_like_ME_CFS': 13}}",0.7325467879565613
canonical_ME_CFS vs control_like_ME_CFS,metadata__antivirals,0.7145250104757787,"{'No': {'canonical_ME_CFS': 100, 'control_like_ME_CFS': 11}, 'Yes': {'canonical_ME_CFS': 21, 'control_like_ME_CFS': 3}}",0.9186750134688583
canonical_ME_CFS vs control_like_ME_CFS,metadata__ethnic,1.0,"{'Hispanic or Latino': {'canonical_ME_CFS': 4, 'control_like_ME_CFS': 0}, 'Not Hispanic': {'canonical_ME_CFS': 111, 'control_like_ME_CFS': 13}}",1.0
canonical_ME_CFS vs control_like_ME_CFS,metadata__antibiotics,1.0,"{'No': {'canonical_ME_CFS': 118, 'control_like_ME_CFS': 14}, 'Yes': {'canonical_ME_CFS': 3, 'control_like_ME_CFS': 0}}",1.0
canonical_control vs ME_CFS_like_control,metadata__gender,0.019425815491411973,"{'Female': {'ME_CFS_like_control': 17, 'canonical_control': 29}, 'Male': {'ME_CFS_like_control': 4, 'canonical_control': 29}}",0.07770326196564789
canonical_control vs ME_CFS_like_control,metadata__ethnic,0.2727272727272727,"{'Hispanic or Latino': {'ME_CFS_like_control': 1, 'canonical_control': 0}, 'Not Hispanic': {'ME_CFS_like_control': 20, 'canonical_control': 56}}",0.4443836241304595
canonical_control vs ME_CFS_like_control,metadata__race,0.33328771809784463,"{'Not_White': {'ME_CFS_like_control': 3, 'canonical_control': 3}, 'White': {'ME_CFS_like_control': 18, 'canonical_control': 55}}",0.4443836241304595
canonical_control vs ME_CFS_like_control,metadata__age_group,0.5827279963639438,"{'<50': {'ME_CFS_like_control': 16, 'canonical_control': 39}, '>50': {'ME_CFS_like_control': 5, 'canonical_control': 19}}",0.5827279963639438
control_like_ME_CFS vs ME_CFS_like_control,metadata__study_ptorhc,4.3104202599407554e-10,"{'Control': {'ME_CFS_like_control': 21, 'control_like_ME_CFS': 0}, 'MECFS': {'ME_CFS_like_control': 0, 'control_like_ME_CFS': 14}}",3.87937823394668e-09
control_like_ME_CFS vs ME_CFS_like_control,metadata__illness_duration,2.51099915574398e-08,"{'Control': {'ME_CFS_like_control': 21, 'control_like_ME_CFS': 0}, 'Long': {'ME_CFS_like_control': 0, 'control_like_ME_CFS': 6}, 'Short': {'ME_CFS_like_control': 0, 'control_like_ME_CFS': 8}}",1.129949620084791e-07
control_like_ME_CFS vs ME_CFS_like_control,metadata__gender,0.03126065999258435,"{'Female': {'ME_CFS_like_control': 17, 'control_like_ME_CFS': 6}, 'Male': {'ME_CFS_like_control': 4, 'control_like_ME_CFS': 8}}",0.09378197997775306
control_like_ME_CFS vs ME_CFS_like_control,metadata__probiotics,0.055614973262032075,"{'No': {'ME_CFS_like_control': 21, 'control_like_ME_CFS': 11}, 'Yes': {'ME_CFS_like_control': 0, 'control_like_ME_CFS': 3}}",0.10010695187165773
control_like_ME_CFS vs ME_CFS_like_control,metadata__antivirals,0.055614973262032075,"{'No': {'ME_CFS_like_control': 21, 'control_like_ME_CFS': 11}, 'Yes': {'ME_CFS_like_control': 0, 'control_like_ME_CFS': 3}}",0.10010695187165773
control_like_ME_CFS vs ME_CFS_like_control,metadata__age_group,0.15341861327400816,"{'<50': {'ME_CFS_like_control': 16, 'control_like_ME_CFS': 7}, '>50': {'ME_CFS_like_control': 5, 'control_like_ME_CFS': 7}}",0.23012791991101225
control_like_ME_CFS vs ME_CFS_like_control,metadata__antifungals,0.4,"{'No': {'ME_CFS_like_control': 21, 'control_like_ME_CFS': 13}, 'Yes': {'ME_CFS_like_control': 0, 'control_like_ME_CFS': 1}}",0.5142857142857143
control_like_ME_CFS vs ME_CFS_like_control,metadata__race,0.6350267379679142,"{'Not_White': {'ME_CFS_like_control': 3, 'control_like_ME_CFS': 1}, 'White': {'ME_CFS_like_control': 18, 'control_like_ME_CFS': 13}}",0.7144050802139035
control_like_ME_CFS vs ME_CFS_like_control,metadata__ethnic,1.0,"{'Hispanic or Latino': {'ME_CFS_like_control': 1, 'control_like_ME_CFS': 0}, 'Not Hispanic': {'ME_CFS_like_control': 20, 'control_like_ME_CFS': 13}}",1.0
