comparison,modality,variable,n_A,n_B,mean_A,mean_B,median_A,median_B,delta_mean,cohen_d,p_value,fdr_q
canonical_ME_CFS vs canonical_control,model_error_metrics,mean_prob,121,58,0.8296906821327936,0.21530373633628355,0.8780036132504715,0.21351295167161657,0.6143869457965101,3.8635963715449875,4.015889003049171e-27,8.305561439971017e-27
canonical_ME_CFS vs canonical_control,model_error_metrics,median_prob,121,58,0.8310558551181073,0.21450581638149283,0.8816873767780273,0.21398011897740415,0.6165500387366145,3.8656314010511896,4.1527807199855086e-27,8.305561439971017e-27
canonical_ME_CFS vs canonical_control,model_error_metrics,correct_rate,121,58,0.9672357203608353,0.9425395403407802,1.0,1.0,0.024696180020055025,0.1981002387662341,0.02411681976949254,0.02411681976949254
canonical_ME_CFS vs canonical_control,model_error_metrics,error_rate,121,58,0.0327642796391647,0.05746045965921984,0.0,0.0,-0.024696180020055136,-0.198100238766235,0.02411681976949254,0.02411681976949254
canonical_ME_CFS vs control_like_ME_CFS,model_error_metrics,FN_rate,121,14,0.0327642796391647,0.945302147490945,0.0,0.97009700970097,-0.9125378678517803,-9.891131188972723,1.329156126014821e-14,2.2152602100247018e-14
canonical_ME_CFS vs control_like_ME_CFS,model_error_metrics,correct_rate,121,14,0.9672357203608353,0.054697852509055025,1.0,0.029902990299029902,0.9125378678517803,9.891131188972723,1.329156126014821e-14,2.2152602100247018e-14
canonical_ME_CFS vs control_like_ME_CFS,model_error_metrics,error_rate,121,14,0.0327642796391647,0.945302147490945,0.0,0.97009700970097,-0.9125378678517803,-9.891131188972723,1.329156126014821e-14,2.2152602100247018e-14
canonical_ME_CFS vs control_like_ME_CFS,model_error_metrics,mean_prob,121,14,0.8296906821327936,0.3182874467537043,0.8780036132504715,0.3663034690457023,0.5114032353790894,3.7259181843036444,1.0006927815326517e-09,1.0006927815326517e-09
canonical_ME_CFS vs control_like_ME_CFS,model_error_metrics,median_prob,121,14,0.8310558551181073,0.3151336383864131,0.8816873767780273,0.36400871849841815,0.5159222167316941,3.735870596684716,1.0006927815326517e-09,1.0006927815326517e-09
canonical_control vs ME_CFS_like_control,model_error_metrics,FP_rate,58,21,0.05746045965921984,0.983053281007391,0.0,1.0,-0.9255928213481711,-9.144214492863648,7.961214324937596e-13,1.3268690541562662e-12
canonical_control vs ME_CFS_like_control,model_error_metrics,correct_rate,58,21,0.9425395403407802,0.016946718992608963,1.0,0.0,0.9255928213481713,9.14421449286365,7.961214324937596e-13,1.3268690541562662e-12
canonical_control vs ME_CFS_like_control,model_error_metrics,error_rate,58,21,0.05746045965921984,0.983053281007391,0.0,1.0,-0.9255928213481711,-9.144214492863648,7.961214324937596e-13,1.3268690541562662e-12
canonical_control vs ME_CFS_like_control,model_error_metrics,mean_prob,58,21,0.21530373633628355,0.782973031136365,0.21351295167161657,0.8048844525358096,-0.5676692948000814,-3.9420092122154267,1.4503930069163607e-11,1.4503930069163607e-11
canonical_control vs ME_CFS_like_control,model_error_metrics,median_prob,58,21,0.21450581638149283,0.7869740517956978,0.21398011897740415,0.8158583255016297,-0.572468235414205,-3.9728080747261028,1.4503930069163607e-11,1.4503930069163607e-11
control_like_ME_CFS vs ME_CFS_like_control,model_error_metrics,mean_prob,14,21,0.3182874467537043,0.782973031136365,0.3663034690457023,0.8048844525358096,-0.46468558438266067,-3.8873394848486345,8.101282899024356e-07,1.6202565798048712e-06
control_like_ME_CFS vs ME_CFS_like_control,model_error_metrics,median_prob,14,21,0.3151336383864131,0.7869740517956978,0.36400871849841815,0.8158583255016297,-0.4718404134092847,-3.9324697858893383,8.101282899024356e-07,1.6202565798048712e-06
control_like_ME_CFS vs ME_CFS_like_control,model_error_metrics,correct_rate,14,21,0.054697852509055025,0.016946718992608963,0.029902990299029902,0.0,0.03775113351644606,0.6656874050900046,0.01576468397802265,0.01576468397802265
control_like_ME_CFS vs ME_CFS_like_control,model_error_metrics,error_rate,14,21,0.945302147490945,0.983053281007391,0.97009700970097,1.0,-0.03775113351644599,-0.6656874050900033,0.01576468397802265,0.01576468397802265
