comparison,modality,variable,n_A,n_B,mean_A,mean_B,median_A,median_B,delta_mean,cohen_d,p_value,fdr_q
canonical_ME_CFS vs canonical_control,model_error_metrics,mean_prob,121,58,0.8296906821327936,0.21530373633628355,0.8780036132504715,0.21351295167161657,0.6143869457965101,3.8635963715449875,4.015889003049171e-27,1.0832528508082199e-23
canonical_ME_CFS vs canonical_control,model_error_metrics,median_prob,121,58,0.8310558551181073,0.21450581638149283,0.8816873767780273,0.21398011897740415,0.6165500387366145,3.8656314010511896,4.1527807199855086e-27,1.0832528508082199e-23
canonical_ME_CFS vs canonical_control,kegg,kegg__K00385,118,57,24.298927999833328,9.592162041886928,14.77548691921584,6.21456408188379,14.7067659579464,0.6031595541003251,4.2101041074864206e-07,0.0007321371042918885
canonical_ME_CFS vs canonical_control,kegg,kegg__K01972,118,57,2319.365054420667,2102.869711541769,2315.74469828081,2081.02248642495,216.4953428788981,0.6705882915065562,1.7203708506456606e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,quest,quest__Non HDL Cholesterol,120,57,0.5337077340800137,0.4294728803681598,0.516036655211913,0.40053455517373,0.10423485371185393,0.7701064555974025,2.429970158611645e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K20444,118,57,709.5599999608198,930.3045337004827,649.4306951714168,923.1272538109066,-220.74453373966287,-0.6305246458706172,3.318580769066662e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K01151,118,57,896.8400448392902,789.0034202061694,918.6517295336134,815.734110033769,107.83662463312078,0.7150387639174264,3.5844439000892395e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K02517,118,57,747.2803067646317,592.0633666406761,729.0335142693773,580.0612998753306,155.21694012395562,0.7247954863428909,3.930476118072439e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K00567,118,57,361.599328319904,277.00389608962814,343.3912614163469,257.778035156957,84.59543223027583,0.7879211297956735,4.115282262390238e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K01548,118,57,374.9570182376036,291.9143436691269,377.389565501066,295.612310447101,83.04267456847674,0.787524511327676,4.1787139338459775e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K04564,118,57,562.4421144518885,444.19318329844276,566.693981149802,454.620723613566,118.24893115344577,0.764986688903008,4.649701660205955e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K03519,118,57,4.349798134842175,1.3223367147203693,1.6733536604351684,0.0,3.0274614201218055,0.26999284946871654,4.936820582584408e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K07862,118,57,314.79272255865067,438.38180224147266,309.698553214909,401.978186632829,-123.58907968282199,-0.6825630912972322,4.9412421746073685e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K00244,118,57,510.98854885201087,722.7285201093869,442.97982774000957,657.225741238207,-211.739971257376,-0.5710858782013679,5.3303368395318324e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,quest,"quest__Cholesterol, Total",120,57,0.45211281446540874,0.33565044687189677,0.4237421383647797,0.304245283018868,0.11646236759351197,0.7175511283233268,5.347684729902068e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K06975,118,57,227.2967753390273,175.02650112514723,224.3708091154964,163.645195803597,52.27027421388007,0.7273350818083525,5.9246503362965755e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K22607,118,57,3.3196605538750594,1.0846209051392908,1.175153068264911,0.0,2.2350396487357687,0.4585054139273076,5.9765963643780524e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K00287,118,57,468.4472244810912,405.42967353471,470.07492738556664,403.4131965848295,63.01755094638122,0.7233367991560221,6.3874453660357105e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,quest,quest__LDL-Cholesterol,120,57,0.5046985062340089,0.4145758661887695,0.4870071684587815,0.39740143369175596,0.0901226400452394,0.703432481026928,6.83069567092299e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K02067,118,57,729.6984857129502,581.0430208340774,725.2135529694305,597.440431513001,148.65546487887275,0.7352611612010103,6.988514994017944e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K03602,118,57,177.92634722635427,150.4563652904634,181.56371205753868,145.227062060257,27.46998193589087,0.776039208595972,6.988514994017944e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K15977,118,57,291.9732801413499,215.74779527145392,280.8836060953058,202.294351709748,76.22548486989598,0.8027460026897713,6.988514994017944e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K21578,118,57,9.893026434387275,2.83833500807471,3.6052212417424725,1.14850910466523,7.054691426312566,0.42711507096385387,7.136509157012888e-06,0.001618746446614619
canonical_ME_CFS vs canonical_control,kegg,kegg__K00338,118,57,318.59301226021165,249.1318437963812,310.12377127316154,252.74201498873649,69.46116846383046,0.7446617341146583,8.481788210071594e-06,0.0017430763932522611
canonical_ME_CFS vs canonical_control,kegg,kegg__K23535,118,57,6.197347219977882,1.741311024267471,2.2270790061407553,0.60606298090275,4.456036195710411,0.3468761751575577,9.190650132892586e-06,0.0017430763932522611
canonical_ME_CFS vs canonical_control,kegg,kegg__K03803,118,57,192.6594664258956,148.96264141306574,193.723318791763,145.822451706175,43.69682501282986,0.7388145386459157,9.407567925024334e-06,0.0017430763932522611
canonical_ME_CFS vs canonical_control,kegg,kegg__K06196,118,57,23.236058011986568,11.131217422774283,16.75957426998805,7.704850479127306,12.104840589212285,0.6442863122300382,9.407567925024334e-06,0.0017430763932522611
canonical_ME_CFS vs canonical_control,kegg,kegg__K03101,118,57,719.2719051048616,628.9972299455692,717.8324888283639,650.5552543867157,90.27467515929243,0.7174233660099377,9.689326318634382e-06,0.0017430763932522611
canonical_ME_CFS vs canonical_control,kegg,kegg__K09768,118,57,197.7045436759364,284.3053312177226,186.74203852890525,275.819757362013,-86.60078754178619,-0.6959096358717473,9.689326318634382e-06,0.0017430763932522611
canonical_ME_CFS vs canonical_control,kegg,kegg__K03575,118,57,757.1841033587243,625.6229568573264,760.0244612149355,613.333717047371,131.56114650139796,0.7492220551258281,1.1727000977509413e-05,0.0020142881524940442
canonical_ME_CFS vs canonical_control,kegg,kegg__K03733,118,57,711.6909261309736,596.1287863436328,716.2560067751878,597.595575860735,115.56213978734081,0.7033148778580548,1.2252220510996187e-05,0.0020142881524940442
canonical_ME_CFS vs canonical_control,quest,quest__Vitamin B12,120,57,0.4897462397137348,0.3368059302462621,0.41699588271574073,0.292560550749279,0.15294030946747272,0.7669080768993961,1.2414012630072105e-05,0.0020142881524940442
canonical_ME_CFS vs canonical_control,kegg,kegg__K03527,118,57,870.2998433267638,760.0079812524833,870.5212060555015,755.0813251268415,110.29186207428052,0.7087056116791918,1.2987517093739619e-05,0.0020142881524940442
canonical_ME_CFS vs canonical_control,kegg,kegg__K06888,118,57,11.012663700667378,4.240949166536685,4.66416362242352,1.47570955882189,6.771714534130693,0.38365891702197275,1.312742901759584e-05,0.0020142881524940442
canonical_ME_CFS vs canonical_control,kegg,kegg__K02111,118,57,3418.4707476115555,4173.457652176239,3244.0655167799696,3807.1116439485195,-754.9869045646838,-0.6106394850938668,1.3566420926153057e-05,0.0020221719420497283
canonical_ME_CFS vs canonical_control,kegg,kegg__K17363,118,57,2.9293732784252846,1.068220956558637,0.9938600871704698,0.0,1.8611523218666477,0.44701231899669636,1.4753394480702087e-05,0.0021380127501617443
canonical_ME_CFS vs canonical_control,kegg,kegg__K06306,118,57,21.777364958935042,9.031412791743188,14.1401978534766,3.79615977957615,12.745952167191854,0.5652530377103836,1.5885968275889696e-05,0.0022223852635573083
canonical_ME_CFS vs canonical_control,kegg,kegg__K22431,118,57,121.85687057041321,179.45134841709373,112.19606169151383,170.54624316337785,-57.59447784668052,-0.6675791970555293,1.660908343636731e-05,0.0022223852635573083
canonical_ME_CFS vs canonical_control,kegg,kegg__K05919,118,57,224.06580249206857,311.0275112388058,193.016914990395,289.9650002867465,-86.96170874673723,-0.6625067265282497,1.7093558613728246e-05,0.0022223852635573083
canonical_ME_CFS vs canonical_control,kegg,kegg__K01560,118,57,76.60609012765406,106.30526184284695,68.58758052644279,102.6788310086785,-29.69917171519289,-0.5999458960092253,1.7845596666210102e-05,0.0022223852635573083
