feature,mean,scale
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),1.3383629152046783,0.5345097790430793
N-acetylglutamate,0.5459109858479532,0.2172901725224838
N4-acetylcytidine,2.280074804093567,1.5292701864364127
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",1.2205512771929823,0.19118503212048193
1-methylurate,0.8598663518128654,1.2596908379643406
N-palmitoyl-sphingosine (d18:1/16:0),1.2405104730994154,0.31704482136026035
3-(4-hydroxyphenyl)lactate,0.9022565941520467,0.32611745063981207
N-acetylglucosamine/N-acetylgalactosamine,0.7820582649122808,0.2549452970498384
vanillylmandelate (VMA),1.2415803888888888,0.438183994874333
4-vinylguaiacol sulfate,0.2680201463157895,0.6611231154271009
