metabolite_name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	QC	QC	QC	QC	QC	QC	QC	Annotation	InChI Key	Species	m/z	RT
11.82_729.66	224445	211970	199752	219124	213099	250716	196499	205752	209209	249515	216625	215895	230324	206707	216889	226020	243639	222912	199474	225307	194938	210697	196148	175540	225728	214430	156519	182466	203045	209753	191435	204467	197965	200542	199027	204675	188522	211491	193461	218471	204472	178115	218376	204414	197722	202691	189493	208274	183381	194426	212797	204576	204809	201303	190812	206475	182978	200761	197041	201919	199883	202860	193857	184817	189867	208441	195330	200509	203995	214126	204079	187954	192997	200137	201391	206674	202578	225038	233961	210172	212683	236233	205412	198881	199701	190662	210135	207391	198602	210977	201740	206365	216717	208322	193946	197907	208843	221513	189723	206097	195201	210893	189120	190953	202136	191743	190584	1_CE (22:1) iSTD	SQHUGNAFKZZXOT-JWTURFAQSA-N	[M+Na]+	729.6577	11.82
6.05_552.54_6.06_574.52_6.05_534.53	185111	196227	200418	201512	198363	196683	199319	195832	192230	198726	191469	197290	209495	194713	189534	191791	202525	193666	191830	186848	179768	181220	183307	183245	175099	178195	181378	184005	174064	173937	181041	182520	180708	180110	181854	171859	185321	190886	189941	176161	178701	181266	181155	185702	182853	178962	184970	178940	186253	175910	179586	171712	181717	181557	184019	176312	187091	179722	175336	181177	186426	182482	189240	180608	182073	175461	178905	190609	181584	173737	177444	175383	186298	175723	181768	178508	181404	175294	178989	178327	185852	174583	175938	173551	180525	178758	177729	183609	176751	175753	180866	171300	174658	186711	183119	170741	179296	174899	173992	176537	179129	179397	186128	183225	183611	181596	177870	1_Ceramide C17 iSTD	ICWGMOFDULMCFL-QKSCFGQVSA-N	[M+H]+_[M+Na]+_[M+H-H2O]+	552.5384_574.5201_534.5277	6.05
4.84_376.40	12364	12436	15808	11218	12826	16991	14153	13324	13376	13480	14158	13123	14263	12091	12630	14882	13272	14391	11025	13260	13222	12987	11883	9172	15252	13002	10191	11272	13420	12559	12250	13041	11701	10926	12646	13055	12795	14515	12516	11422	12191	12395	14609	8543	13510	12913	14614	12934	13938	11436	13891	9732	12334	12311	11553	12116	12570	10878	10280	13110	11886	10436	12995	12901	12680	12630	11602	14466	12272	14246	11731	12156	11078	10769	12467	11227	12019	11560	14595	12998	11827	12074	10765	10023	12532	9888	12212	12797	12077	11161	12168	10736	16648	17070	9726	10431	9888	13604	10910	14214	11463	12288	12748	12001	12926	12078	11537	1_Cholesterol d7 iSTD	HVYWMOMLDIMFJA-IFAPJKRJSA-N	[M+H-H2O]+	376.3987	4.84
0.76_341.28	118490	112448	125196	113062	113633	129785	113144	107438	112499	123071	125764	121825	124760	118088	118498	114112	129680	119535	111610	111934	108277	111943	106073	103601	112740	109339	110101	113798	114408	120733	110344	115315	114738	116763	101826	125494	106508	124555	113655	109136	117628	106955	108218	109764	111290	113821	104506	110158	120106	107547	120989	121219	117327	104597	105141	117123	101166	106551	115148	105727	106365	114471	108135	108136	114161	115588	112284	110987	102872	122807	108680	128006	104803	120597	117368	109661	108483	117993	110337	105702	129024	110127	126601	107973	109996	109403	107293	114767	121383	118883	113738	115878	134205	132222	105972	117493	114927	125972	113692	116356	113224	115615	110535	106962	119834	112536	110411	1_CUDA (pos)iSTD	HPTJABJPZMULFH-UHFFFAOYSA-N	[M+H]+	341.2809	0.76
4.29_479.38_4.29_474.42	135299	139151	130236	144852	136099	130509	138221	138424	138019	138828	128321	137307	137090	138168	137302	135577	97844	142265	140397	135457	140385	136561	138568	126877	126729	138504	136837	101121	134626	132081	134606	138782	127022	138669	137237	137852	142744	137587	136466	135837	135274	138418	135987	137157	141191	137809	141038	139241	131160	133803	134264	136990	137151	137330	144550	128719	142661	137490	137815	139232	139498	137730	136713	137371	136335	139578	127620	141170	136980	134517	140329	130431	136138	132909	137352	137868	139526	130851	118298	134051	137413	132273	136308	133865	143641	131003	139426	136310	138595	139916	139355	133301	130697	117191	136410	129768	135845	131761	134759	138031	132563	133150	125230	134930	139867	75983	126851	1_DG (12:0/12:0/0:0) iSTD	OQQOAWVKVDAJOI-VWLOTQADSA-N	[M+Na]+_[M+NH4]+	479.3788_474.4196	4.29
3.17_421.30_3.17_416.34	468240	441761	436705	448405	429659	415059	415837	458419	454381	412872	438415	435533	412162	445517	455978	449476	439253	440142	480374	470816	479062	466450	471636	498729	492875	482216	472341	486470	481606	482561	470683	464298	458494	483681	475678	481959	475382	422811	393514	489665	457240	506250	470694	487807	459223	465741	478374	475363	449981	484787	465034	472561	445289	465801	466408	452112	466556	463561	480781	481595	476216	476281	448117	489579	467579	486573	477406	382163	482402	467842	468378	465838	464408	479557	457642	470928	459962	476957	426785	473984	477873	480836	506737	519672	475198	504038	492870	454327	483252	496732	477638	514747	466829	329337	480878	521811	469577	487136	497849	464903	476539	458409	482111	482797	457514	532021	506361	1_DG (18:1/2:0/0:0) iSTD	PWTCCMJTPHCGMS-YRBAHSOBSA-N	[M+NH4]+_[M+Na]+	421.2999_416.3445	3.17
1.81_510.36	367325	406267	423175	381221	410991	398763	417105	404736	394845	389265	396530	404944	414190	387846	389549	384372	390270	395148	377737	379217	373081	361459	378267	369860	348906	351399	388989	382753	364743	355892	373154	372069	381766	359399	382299	361590	369489	375598	399959	347854	373673	378978	360325	340596	376697	373642	376169	367228	394052	363258	361664	350393	371453	365981	378216	366801	385974	364278	362695	357085	365653	355935	387923	369894	372822	353477	365381	411820	370717	361737	368628	366938	372004	360115	368813	367372	366741	353196	379933	369260	352086	343227	359918	345574	361453	356836	350045	374865	368671	344621	352108	345784	355451	471883	354104	346690	355381	348264	368062	363554	370364	375758	374549	372853	379423	374774	367926	1_LPC (17:0) iSTD	SRRQPVVYXBTRQK-XMMPIXPASA-N	[M+H]+	510.3578	1.81
1.32_466.29	65358	54373	51846	54222	52725	52593	61163	51513	57814	49970	68532	48627	36959	60288	57282	63601	51026	56016	60233	63420	69061	68750	62041	71295	66949	67752	71804	69964	69514	69841	69188	66408	65092	68938	65107	62392	67804	65346	76729	71950	69241	66065	64660	69160	66217	63922	64217	61482	62134	64604	57574	67231	68578	63528	68721	68859	66680	70701	65662	65348	64684	66781	63449	70165	66522	65553	66859	74100	67091	65396	68621	71760	64242	63195	68675	66276	63037	64478	68395	67847	67030	69035	60210	63682	65523	69511	65658	63041	64890	67471	69152	66304	61749	90919	69315	64472	67606	67029	64878	65356	60155	57018	49469	48527	47715	55811	54608	1_LPE (17:1) iSTD	LNJNONCNASQZOB-HEDKFQSOSA-N	[M+H]+	466.2941	1.32
3.04_367.28_3.04_362.33_3.04_345.30	80897	84126	81077	90283	82923	79319	82916	84101	80209	82277	73693	83316	86819	82473	83955	81998	86371	80832	86088	80993	50625	48292	50124	47108	51663	51161	47447	47519	47804	47683	47473	49997	49889	49229	50454	50292	55027	54984	55539	54842	49998	50607	54567	50078	54273	51784	52239	51116	47182	45649	49653	44102	46380	46195	49356	43786	48625	45463	48235	48164	43479	46323	45181	45067	44502	47037	42999	49275	47228	44946	46509	43397	44594	44111	47161	45992	45743	46458	47895	45714	42692	42694	40789	41371	41685	38935	42656	43534	42705	42489	44224	39160	41131	42744	40271	40075	41037	41955	38749	41097	50882	51481	45365	47544	46990	40939	39644	1_MG (17:0/0:0/0:0) iSTD	SVUQHVRAGMNPLW-UHFFFAOYSA-N	[M+H]+_[M+NH4]+_[M+Na]+	367.2837_362.329_345.3028	3.04
3.51_636.46	14020	14648	15886	14761	15343	16048	14859	14577	14982	15302	14555	15165	15003	15002	14519	14482	14724	15048	14103	14997	13866	13411	13827	13896	14194	13432	13988	14110	13390	13630	13335	13735	14447	13141	13427	14123	14149	14584	13884	13645	13352	13742	13929	13237	13859	13640	15248	14117	14615	13575	13627	12648	13362	13931	13647	12899	14104	13611	13273	13847	13526	13266	14854	14484	13709	13378	14599	14552	13316	14110	12613	13908	13854	13456	13871	13902	14175	13801	15002	13753	13393	13442	13711	13324	14057	12944	13104	14229	13525	12821	13545	13345	13659	14785	13087	13407	13490	13510	13566	13977	13278	14094	13829	13510	13865	13761	12959	1_PC (25:0) iSTD	FCTBVSCBBWKZML-WJOKGBTCSA-N	[M+H]+	636.4628	3.51
6.36_720.56	41217	28582	27127	24305	25799	34198	38575	25919	32215	31465	31651	30375	29391	28009	31085	29260	27146	27555	24162	25542	83941	81881	81429	82155	81438	84237	83060	80527	81320	81193	81337	83322	83662	79111	78342	78775	82887	77888	82828	75438	77348	64782	87550	74063	85432	84543	88644	81608	101897	95558	100934	92895	99613	98856	97521	97679	96761	99640	93521	100937	94788	82936	86566	94659	96524	87035	96784	102819	91649	91003	94942	99029	97283	86082	93877	93718	104053	92676	101580	99722	77257	77349	68005	76155	89321	78778	81237	95499	82868	83158	91799	78001	93827	86657	100267	87425	95269	83464	91436	98906	74113	71470	92575	93951	87380	94375	93359	1_PE (17:0/17:0) iSTD	YSFFAUPDXKTJMR-DIPNUNPCSA-N	[M+H]+	720.5563	6.36
