metabolite_name	Biorec001_posHILIC_preLipkin001_2.d	Biorec002_posHILIC_postLipkin010_2.d	Biorec003_posHILIC_postLipkin020.d	Biorec004_posHILIC_postLipkin030.d	Biorec005_posHILIC_postLipkin040.d	Biorec006_posHILIC_postLipkin050.d	Biorec007_posHILIC_postLipkin060.d	Biorec008_posHILIC_postLipkin070.d	Biorec009_posHILIC_postLipkin080.d	Biorec010_posHILIC_postLipkin090.d	Biorec011_posHILIC_postLipkin0102.d	Lipkin072_posHILIC_ESP-0007_001_3uL.d	Lipkin085_posHILIC_ESP-0020_002_3uL.d	Lipkin027_posHILIC_ESP-0033_003_3uL.d	Lipkin081_posHILIC_ESP-0046_004_3uL.d	Lipkin034_posHILIC_ESP-0059_005_3uL_2.d	Lipkin065_posHILIC_ESP-0072_006_3uL.d	Lipkin029_posHILIC_ESP-0085_007_3uL.d	Lipkin048_posHILIC_ESP-0098_008_3uL.d	Lipkin047_posHILIC_ESP-0111_009_3uL.d	Lipkin069_posHILIC_ESP-0124_010_3uL.d	Lipkin038_posHILIC_ESP-0137_011_3uL.d	Lipkin050_posHILIC_ESP-0150_012_3uL.d	Lipkin096_posHILIC_ESP-0163_013_3uL.d	Lipkin037_posHILIC_ESP-0176_014_3uL.d	Lipkin049_posHILIC_ESP-0189_015_3uL.d	Lipkin063_posHILIC_ESP-0202_016_3uL_2.d	Lipkin083_posHILIC_ESP-0215_017_3uL.d	Lipkin057_posHILIC_ESP-0228_018_3uL_2.d	Lipkin074_posHILIC_ESP-0241_019_3uL_2.d	Lipkin062_posHILIC_ESP-0254_020_3uL.d	Lipkin076_posHILIC_ESP-0267_021_3uL.d	Lipkin101_posHILIC_ESP-0280_022_3uL.d	Lipkin039_posHILIC_ESP-0293_023_3uL_2.d	Lipkin056_posHILIC_ESP-0306_024_3uL_2.d	Lipkin064_posHILIC_ESP-0319_025_3uL.d	Lipkin095_posHILIC_ESP-0332_026_3uL.d	Lipkin013_posHILIC_ESP-0345_027_3uL.d	Lipkin017_posHILIC_ESP-0358_028_3uL.d	Lipkin002_posHILIC_ESP-0371_029_3uL.d	Lipkin001_posHILIC_ESP-0384_030_3uL.d	Lipkin021_posHILIC_ESP-0397_031_3uL.d	Lipkin044_posHILIC_ESP-0410_032_3uL.d	Lipkin032_posHILIC_ESP-0423_033_3uL.d	Lipkin094_posHILIC_ESP-0436_034_3uL.d	Lipkin042_posHILIC_ESP-0449_035_3uL.d	Lipkin007_posHILIC_ESP-0462_036_3uL.d	Lipkin082_posHILIC_ESP-0475_037_3uL.d	Lipkin004_posHILIC_ESP-0488_038_3uL.d	Lipkin024_posHILIC_ESP-0501_039_3uL.d	Lipkin073_posHILIC_ESP-0514_040_3uL.d	Lipkin033_posHILIC_ESP-0527_041_3uL.d	Lipkin019_posHILIC_ESP-0540_042_3uL.d	Lipkin071_posHILIC_ESP-0553_043_3uL.d	Lipkin005_posHILIC_ESP-0566_044_3uL_2.d	Lipkin053_posHILIC_ESP-0579_045_3uL.d	Lipkin035_posHILIC_ESP-0592_046_3uL.d	Lipkin089_posHILIC_ESP-0605_047_3uL.d	Lipkin043_posHILIC_ESP-0618_048_3uL.d	Lipkin023_posHILIC_ESP-0631_049_1uL.d	Lipkin020_posHILIC_ESP-0644_050_3uL.d	Lipkin092_posHILIC_ESP-0657_051_3uL.d	Lipkin009_posHILIC_ESP-0670_052_3uL.d	Lipkin040_posHILIC_ESP-0683_053_3uL.d	Lipkin012_posHILIC_ESP-0696_054_3uL.d	Lipkin080_posHILIC_ESP-0709_055_3uL.d	Lipkin028_posHILIC_ESP-0722_056_3uL.d	Lipkin077_posHILIC_ESP-0735_057_3uL_2.d	Lipkin099_posHILIC_ESP-0748_058_3uL.d	Lipkin054_posHILIC_ESP-0761_059_3uL.d	Lipkin088_posHILIC_ESP-0774_060_3uL.d	Lipkin097_posHILIC_ESP-0787_061_3uL.d	Lipkin078_posHILIC_ESP-0800_062_3uL.d	Lipkin008_posHILIC_ESP-0813_063_3uL.d	Lipkin066_posHILIC_ESP-0826_064_3uL.d	Lipkin018_posHILIC_ESP-0839_065_3uL.d	Lipkin058_posHILIC_ESP-0852_066_3uL.d	Lipkin016_posHILIC_ESP-0865_067_3uL.d	Lipkin051_posHILIC_ESP-0878_068_3uL.d	Lipkin068_posHILIC_ESP-0891_069_3uL_2.d	Lipkin011_posHILIC_ESP-0904_070_3uL.d	Lipkin059_posHILIC_ESP-0917_071_3uL.d	Lipkin014_posHILIC_ESP-0930_072_3uL.d	Lipkin100_posHILIC_ESP-0943_073_3uL.d	Lipkin046_posHILIC_ESP-0956_074_3uL.d	Lipkin060_posHILIC_ESP-0969_075_3uL.d	Lipkin075_posHILIC_ESP-0982_076_3uL.d	Lipkin093_posHILIC_ESP-0995_077_3uL.d	Lipkin086_posHILIC_ESP-1008_078_3uL.d	Lipkin067_posHILIC_ESP-1021_079_3uL.d	Lipkin091_posHILIC_ESP-1034_080_3uL.d	Lipkin055_posHILIC_ESP-1047_081_3uL.d	Lipkin070_posHILIC_ESP-1060_082_3uL_2.d	Lipkin003_posHILIC_ESP-1073_083_3uL.d	Lipkin006_posHILIC_ESP-1086_084_3uL.d	Lipkin045_posHILIC_ESP-1099_085_3uL.d	Lipkin031_posHILIC_ESP-1112_086_3uL.d	Lipkin087_posHILIC_ESP-1125_087_3uL.d	Lipkin102_posHILIC_ESP-1138_088_3uL.d	Lipkin079_posHILIC_ESP-1151_089_3uL.d	Lipkin061_posHILIC_ESP-1164_090_3uL.d	Lipkin090_posHILIC_ESP-1177_091_3uL.d	Lipkin015_posHILIC_ESP-1190_092_3uL.d	Lipkin026_posHILIC_ESP-1203_093_3uL.d	Lipkin052_posHILIC_ESP-1216_094_3uL.d	Lipkin098_posHILIC_ESP-1229_095_3uL.d	Lipkin030_posHILIC_ESP-1255_096_3uL.d	Lipkin041_posHILIC_ESP-1268_097_3uL.d	Lipkin084_posHILIC_ESP-1281_098_3uL.d	Lipkin022_posHILIC_ESP-1294_099_3uL.d	Lipkin010_posHILIC_ESP-1307_100_3uL.d	Annotation	PubChem CID	Species	Dot product	Reverse dot product	m/z	RT
7.06_204.12	977400	941249	900364	913756	914591	909167	898005	900935	909980	884101	1003749	608920	542969	707352	852565	944647	518897	551607	619474	495681	1675378	375791	548940	1267805	496543	543351	329512	660843	527470	712335	529718	605051	670739	852074	740036	579814	1054689	398710	968203	498369	928623	406069	843035	1021950	858623	538474	1362154	1046165	716401	794886	1022348	524815	638934	783722	430922	838881	763793	291758	1054873	358125	795758	1377761	582131	437699	1034331	243356	648712	896574	428109	745105	905959	753934	756102	843951	1038628	546060	621761	646676	499914	556026	566082	479553	526403	607975	494767	832524	706550	723160	1134112	544456	905048	623203	1124056	769682	1867962	602984	729410	665316	533164	818390	477892	484933	385307	460792	455274	523898	669096	1233202	581378	556974	734743	Acetylcarnitine	1	[M+H]+	-1	-1	204.1234	7.06
6.33_218.14	254554	259735	221329	242458	242417	234203	195362	231846	251148	230098	274499	132660	142567	115102	109994	66774	121254	99768	75098	96262	100695	72810	53772	120334	97634	125782	97366	82466	183497	154122	114642	137390	138196	198565	63284	79205	120313	92448	64881	62746	153670	67293	120708	59035	102650	128524	168033	58840	149337	95306	97716	244425	183852	147946	59170	119063	94154	68700	77304	39784	132388	86628	94882	147626	104920	101601	195593	68811	78365	150669	66920	128014	140400	119368	166622	145855	72122	80783	74447	146520	82996	87245	117400	123865	65834	185862	60863	80328	119191	143619	133623	138469	200640	125482	85269	81362	81019	80537	72356	175416	105129	81511	69604	126352	123086	92177	99476	116447	134060	90865	100797	Propionylcarnitine	107738	[M+H]+	-1	-1	218.1383	6.33
5.71_232.15	152306	149330	131087	154591	153030	149356	125954	153599	162792	145239	180501	107843	101013	70749	86003	71616	99808	54946	188784	75914	105958	75286	30073	92168	89185	104633	72952	76281	130749	123590	109935	79573	77853	177868	100671	94924	134867	71081	48443	96739	147203	35732	88259	51675	93684	158403	187361	58974	184113	55168	68913	155534	108670	119350	52523	77374	87912	59685	148624	24416	146157	57496	71677	64533	57980	45153	229110	61310	86797	70099	46817	80372	91593	133456	98774	142468	35370	62942	51005	128839	88016	46865	57558	71955	43086	100963	43871	79022	457250	61167	106384	120664	226864	72744	110311	58437	72628	49560	53901	131821	61529	83428	50744	104954	56466	53197	58878	107745	115732	105174	71579	Butyrylcarnitine	213144	[M+H]+	-1	-1	232.1539	5.71
5.32_246.17	101873	92849	87106	96932	98530	94950	81420	95174	103235	95540	111541	42744	36437	27740	52305	28978	48856	39350	35910	45155	42274	26692	34577	47385	47184	43178	40410	26999	65894	77137	30864	40721	37068	68393	26690	45023	47078	25852	25673	27931	59281	27216	47040	22211	27285	47406	72245	14505	43446	29226	38235	87709	59591	48439	18257	38415	44508	31384	40591	17338	53205	27688	36021	60905	17856	23441	78936	39512	19422	31232	21878	31910	45906	64777	42012	59331	18566	27096	16984	51148	43241	252431	26548	36814	36004	59989	31769	33116	72510	30728	26337	38117	76240	46671	41097	34365	27323	24176	24366	37810	59317	27269	27609	63267	40069	26161	40778	47339	34302	55328	39563	Isovalerylcarnitine	6426851	[M+H]+	-1	-1	246.1693	5.32
5.02_260.18	14515	13910	13493	14636	14066	14058	12007	13951	14845	13176	15160	10997	12078	11566	32592	13208	12936	18415	36987	19652	20877	4553	14553	26945	22014	11674	7931	12468	6733	20056	10767	15155	13301	30502	205241	12638	26830	5352	12274	13404	21494	7231	17035	19135	20330	29949	28685	18072	38381	28020	20560	17753	13820	16093	10464	13914	21642	4835	19484	11952	24415	32061	11408	7631	21638	8813	13244	14296	14342	23988	23089	18053	20557	22852	15973	10364	11343	13855	15042	46005	12259	6284	6954	17851	24342	16930	16397	22768	45272	14815	30974	10499	39724	19322	142610	11184	18573	23212	13441	32840	6855	9802	4454	7864	6776	11289	39276	43636	12007	21160	25804	Hexanoylcarnitine	6426853	[M+H]+	-1	-1	260.1844	5.02
4.66_288.22	26037	23135	20486	23559	23705	23435	20062	22940	25383	22336	24888	31975	37613	31232	122225	42458	34386	55290	134290	64706	38256	15141	57312	85276	21466	20063	31269	36371	16381	43418	24085	44399	23463	84029	685630	34501	78453	15729	34002	19191	74229	16522	44718	45649	63916	95904	102865	42742	55674	76642	63995	85992	35253	43277	34253	43623	68113	15588	59710	49564	55003	92433	30431	27988	70569	27113	31760	51626	50486	93257	74883	70088	89222	59401	43459	36050	29215	24096	41193	196757	44347	16708	15237	102005	95538	37226	59906	75069	171472	40752	109168	21101	155503	48435	515568	30009	82631	125814	55303	116916	18813	37119	13837	17641	17213	25970	152586	147026	34915	55581	104225	Octanoylcarnitine	123701	[M+H]+	-1	-1	288.2174	4.66
4.87_286.20	102781	93264	86584	95806	96979	97542	82249	99969	100632	98068	109900	30703	91352	61973	226268	58002	22929	27677	62049	48490	50689	26745	36060	22426	19985	52045	39329	54640	30130	122797	35956	35854	33224	87556	60082	78301	122738	20577	33985	49073	45235	51224	27601	56878	63352	88403	46920	39422	82608	37598	44848	43087	36066	75889	8849	52396	109036	27642	52211	15413	35138	84602	63498	27827	71391	55146	27652	42255	114245	48773	19877	103565	20970	34121	49560	34331	20630	14456	23881	70256	27845	114358	20073	57517	52068	9975	36443	58044	41745	43778	81735	18756	24001	60159	33152	43208	73571	87096	105834	37131	140318	42261	23654	9260	55386	47583	29408	56249	61757	71633	58712	Octenoylcarnitine	71464472	[M+H]+	-1	-1	286.2005	4.87
4.56_300.21	1262	4974	4692	5041	5214	1382	1402	5082	4862	5340	5667	2515	3004	2528	9591	4459	2636	2678	2563	3491	1777	3259	3641	12358	9886	2736	3626	3415	6373	5329	3232	2968	2312	4279	2919	6354	3462	3487	2493	3138	6928	2846	2754	3660	41305	10511	3136	2286	3292	2580	2914	9732	3035	5237	5940	3071	6321		3272	1895	2362	1765	3877	2259	5627	4440	2721	9122	6151	2638	7053	4705	2898	8490	2671	3074	2779	4258	4792	13666	5024	2878	11325	6150	2151	2549	4440	4212	5521	2779	3266	3669	5531	4142	5244	4295	7771	4046	2637	1200	3751	4482	3178	3959	897	6350	6523	7492	3277	9956	5329	Acylcarnitine (C9:1)	53481660	[M+H]+	-1	-1	300.2141	4.56
4.39_316.25	26375	24399	23202	24941	23703	25190	20198	24929	26883	24922	27518	28796	36632	38200	107509	48859	31196	38690	183752	61529	46689	15143	74910	98689	18720	19666	37176	37889	13467	45928	25717	45528	19061	76140	626655	40274	84708	12423	39080	16819	72351	16846	45207	50877	67930	102208	102776	47249	57265	84944	81923	105320	41355	48491	33473	47801	84584	11718	74529	51719	62186	89143	36343	30364	70886	23381	32811	62686	55611	93117	93549	74280	110205	62577	51568	38556	33940	25652	40773	171568	57118	17938	10998	126111	107109	39966	74505	83450	178079	47608	124125	22453	203700	48462	477313	40070	101478	175947	59859	152607	18565	40684	10685	21106	13492	22722	162662	199637	38514	69615	135724	Decanoylcarnitine	10245190	[M+H]+	-1	-1	316.248	4.39
4.47_314.23	39013	38494	35452	38722	37038	36823	32078	40015	41679	38094	44110	22333	55150	58304	127995	52522	40472	42968	103948	58742	42688	16255	81881	87192	13859	23947	44099	33667	32238	46067	31740	39539	32747	105807	217853	47785	82603	18709	37347	18095	68013	25061	45778	53345	82502	95131	149372	31548	59126	59222	60572	73098	38376	51943	21433	46239	64184	17677	73134	33442	78296	83369	37715	32229	66184	30561	26171	51975	53348	71848	66174	90051	90430	75427	46017	27111	30596	23129	26969	80518	36645	29279	16151	67780	86918	30995	70940	67065	185252	40640	116097	20882	155715	55986	386095	32844	83949	81597	38906	99924	27732	42608	17838	16277	14744	28722	128535	142287	40741	51300	127717	Decenoylcarnitine	53481651	[M+H]+	-1	-1	314.2318	4.47
