"","Orthology","Reaction","Reaction_decode","Pathway","Pathway_decode","Module","Module_decode","KEGG.mergedColors","KEGG.yellow","KEGG.black","KEGG.brown","KEGG.purple","KEGG.red","KEGG.turquoise","KEGG.magenta","KEGG.blue","KEGG.green","KEGG.yellow.p","KEGG.black.p","KEGG.brown.p","KEGG.purple.p","KEGG.red.p","KEGG.turquoise.p","KEGG.magenta.p","KEGG.blue.p","KEGG.green.p"
"K21572","susD; starch-binding outer membrane protein, SusD/RagB family","","","","","","","yellow",0.947341204698127,0.191730965311619,-0.479678736560005,-0.0339545889280979,-0.222582868310722,-0.200632564847737,-0.223028200794506,-0.721799605419228,-0.228407072096164,4.88188209692846e-238,2.39440881849307e-05,6.22620142871712e-29,0.458448124180965,8.62805720609918e-07,9.65967647584902e-06,8.19366343847725e-07,2.91326092169888e-78,4.35342136248837e-07
"K07259","dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]","","","map00550","Peptidoglycan biosynthesis","","","yellow",0.941682324210595,0.197020598885256,-0.494149027267649,-0.0438180836614544,-0.17604464257649,0.0427754305294148,-0.051301515371365,-0.711605280075629,-0.211494717009922,9.16806704441028e-228,1.40304302144845e-05,7.38191959338505e-31,0.338587628817044,0.000107438339777076,0.350217436413668,0.262461175218601,3.8288618659278e-75,3.01758270350409e-06
"K08676","tri; tricorn protease [EC:3.4.21.-]","","","","","","","yellow",0.930126579750557,0.242176987397464,-0.468639969868156,-0.0339800748783724,-0.249965689478429,-0.186258378784781,-0.220834745437492,-0.748035676344017,-0.24175797328564,1.18684428983906e-209,8.02594633176277e-08,1.59590752217481e-27,0.458110683666026,2.94401107682343e-08,4.10018097061452e-05,1.0556796926447e-06,5.69414825317574e-87,8.46274921087391e-08
"K03473","pdxB; erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]","R04210","4-Phospho-D-erythronate + NAD+ <=> 2-Oxo-3-hydroxy-4-phosphobutanoate + NADH + H+","map01100","Metabolic pathways","M00124","Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P","yellow",0.927724948966016,0.155461593680631,-0.526680726806824,-0.0684244442234604,-0.157049517365813,0.00652939852368681,-0.185619145777777,-0.729524539081493,-0.219141265346633,2.79815125090473e-206,0.000639381347852169,1.53744765949708e-35,0.134814670631247,0.000561322491851773,0.886660582867857,4.36171732989413e-05,1.01541040355473e-80,1.28154456293277e-06
"K12373","HEXA_B; hexosaminidase [EC:3.2.1.52]","R12963","Gangliotriaosylceramide-II3 sulfate + H2O <=> Lactosylceramide sulfate + N-Acetyl-D-galactosamine","map04142","Lysosome","M00079","Keratan sulfate degradation","yellow",0.926588658764813,0.180797757718143,-0.488174265958805,-0.0668063305769587,-0.0455829240950053,-0.170852347630373,-0.197578467992876,-0.735801734322168,-0.214357681102965,1.00486279347516e-204,6.90734623718621e-05,4.72695257485936e-30,0.144306800781775,0.319472732007551,0.000171841027243976,1.32502722497918e-05,8.8308389085247e-83,2.19778749221115e-06
"K04773","sppA; protease IV [EC:3.4.21.-]","","","","","","","yellow",0.920995786375134,0.1839112087635,-0.539177644566376,-0.0297719969592192,-0.143763748206028,-0.0474628720759938,-0.227211800245977,-0.80946815291614,-0.261553297361995,2.03548823247852e-197,5.14004891606044e-05,1.77685470785822e-37,0.515670497566598,0.00160715785354452,0.299900900700334,5.0170600547523e-07,2.24877036490777e-112,6.21473424356528e-09
"K01057","PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]","R02035","D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate","map01200","Carbon metabolism","M00008","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate","yellow",0.919186442163303,0.176155588717035,-0.493853371961482,-0.06582645892229,-0.197755562450073,-0.157440458937447,-0.0501459006492616,-0.708071741714777,-0.217963472381575,3.60840979087468e-195,0.000106349949037553,8.09931898239461e-31,0.150298251784856,1.30113638272463e-05,0.000543511903264732,0.273377191981919,4.29085717900636e-74,1.46521677925109e-06
"K09758","asdA; aspartate 4-decarboxylase [EC:4.1.1.12]","R00863","3-Sulfino-L-alanine <=> L-Alanine + Sulfur dioxide","map01230","Biosynthesis of amino acids","","","yellow",0.918260541172387,0.241161660198173,-0.531168163198763,-0.0312171708098656,-0.248580374996654,-0.203752208688108,-0.211306542623097,-0.829379518300942,-0.240795376537591,4.87252657866865e-194,9.12414563107598e-08,3.1657798362433e-36,0.495490526463309,3.52766669863011e-08,6.95956512764224e-06,3.08064813382765e-06,1.10199928772219e-122,9.55484805097754e-08
"K01206","FUCA; alpha-L-fucosidase [EC:3.2.1.51]","","","map00511","Other glycan degradation","","","yellow",0.915827218733365,0.264814510755169,-0.441686753258951,-0.0645050589560782,-0.11350150459239,-0.171861207801397,-0.191425435445191,-0.748768649243999,-0.224350235631552,3.9436424229314e-191,3.95631453601345e-09,2.72128108696171e-24,0.158675005520647,0.0129315624780832,0.000157019015178465,2.46839894171632e-05,3.13815824206137e-87,7.02430919776785e-07
"K08641","vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]","","","map02020","Two-component system","M00651","Vancomycin resistance, D-Ala-D-Lac type","yellow",0.913632798239948,0.152699525366889,-0.482621583814509,0.0581282879960149,0.0574037095899803,-0.0935206308026379,-0.184364397249325,-0.675901338579366,-0.17766941733326,1.39309333226886e-188,0.000799569275434761,2.5699351965759e-29,0.204102521478366,0.209808086786642,0.0407625762373341,4.92162261597956e-05,3.24544658159275e-65,9.24981315856857e-05
